Serial_number:
2074686
Project ID:
neal_smith
Location:
B1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2017,01:00:00 pm,0,-0.0108,47.881
7/10/2017,01:05:00 pm,0,-0.0210,46.303
7/10/2017,01:10:00 pm,0,0.0036,31.076
7/10/2017,01:15:00 pm,0,-0.0132,30.691
7/10/2017,01:20:00 pm,0,-0.0115,30.734
7/10/2017,01:25:00 pm,0,0.0042,30.860
7/10/2017,01:30:00 pm,0,-0.0102,30.974
7/10/2017,01:35:00 pm,0,-0.0014,31.102
7/10/2017,01:40:00 pm,0,0.0107,31.251
7/10/2017,01:45:00 pm,0,0.0178,31.393
7/10/2017,01:50:00 pm,0,0.0287,31.560
7/10/2017,01:55:00 pm,0,0.0138,31.726
7/10/2017,02:00:00 pm,0,-0.0052,31.926
7/10/2017,02:05:00 pm,0,0.0174,32.076
7/10/2017,02:10:00 pm,0,0.0218,32.194
7/10/2017,02:15:00 pm,0,0.0231,32.288
7/10/2017,02:20:00 pm,0,0.0256,32.358
7/10/2017,02:25:00 pm,0,0.0273,32.425
7/10/2017,02:30:00 pm,0,0.0257,32.554
7/10/2017,02:35:00 pm,0,0.0247,32.681
7/10/2017,02:40:00 pm,0,0.0242,32.821
7/10/2017,02:45:00 pm,0,0.0227,32.939
7/10/2017,02:50:00 pm,0,0.0221,33.043
7/10/2017,02:55:00 pm,0,0.0237,33.147
7/10/2017,03:00:00 pm,0,0.0256,33.237
7/10/2017,03:05:00 pm,0,0.0261,33.290
7/10/2017,03:10:00 pm,0,0.0271,33.349
7/10/2017,03:15:00 pm,0,0.0262,33.392
7/10/2017,03:20:00 pm,0,0.0268,33.439
7/10/2017,03:25:00 pm,0,0.0260,33.473
7/10/2017,03:30:00 pm,0,0.0261,33.486
7/10/2017,03:35:00 pm,0,0.0260,33.503
7/10/2017,03:40:00 pm,0,0.0287,33.542
7/10/2017,03:45:00 pm,0,0.0278,33.601
7/10/2017,03:50:00 pm,0,0.0264,33.659
7/10/2017,03:55:00 pm,0,0.0287,33.717
7/10/2017,04:00:00 pm,0,0.0284,33.743
7/10/2017,04:05:00 pm,0,0.0277,33.803
7/10/2017,04:10:00 pm,0,0.0279,33.813
7/10/2017,04:15:00 pm,0,0.0281,33.846
7/10/2017,04:20:00 pm,0,0.0263,33.882
7/10/2017,04:25:00 pm,0,0.0265,33.915
7/10/2017,04:30:00 pm,0,0.0282,33.891
7/10/2017,04:35:00 pm,0,0.0267,33.849
7/10/2017,04:40:00 pm,0,0.0267,33.819
7/10/2017,04:45:00 pm,0,0.0259,33.812
7/10/2017,04:50:00 pm,0,0.0249,33.809
7/10/2017,04:55:00 pm,0,0.0244,33.809
7/10/2017,05:00:00 pm,0,0.0255,33.803
7/10/2017,05:05:00 pm,0,0.0232,33.809
7/10/2017,05:10:00 pm,0,0.0268,33.802
7/10/2017,05:15:00 pm,0,0.0269,33.786
7/10/2017,05:20:00 pm,0,0.0256,33.702
7/10/2017,05:25:00 pm,0,0.0257,33.625
7/10/2017,05:30:00 pm,0,0.0234,33.574
7/10/2017,05:35:00 pm,0,0.0230,33.469
7/10/2017,05:40:00 pm,0,0.0223,33.386
7/10/2017,05:45:00 pm,0,0.0224,33.276
7/10/2017,05:50:00 pm,0,0.0225,33.165
7/10/2017,05:55:00 pm,0,0.0225,33.069
7/10/2017,06:00:00 pm,0,0.0218,32.948
7/10/2017,06:05:00 pm,0,0.0210,32.866
7/10/2017,06:10:00 pm,0,0.0204,32.776
7/10/2017,06:15:00 pm,0,0.0196,32.693
7/10/2017,06:20:00 pm,0,0.0190,32.601
7/10/2017,06:25:00 pm,0,0.0195,32.532
7/10/2017,06:30:00 pm,0,0.0188,32.465
7/10/2017,06:35:00 pm,0,0.0190,32.405
7/10/2017,06:40:00 pm,0,0.0185,32.334
7/10/2017,06:45:00 pm,0,0.0181,32.256
7/10/2017,06:50:00 pm,0,0.0180,32.182
7/10/2017,06:55:00 pm,0,0.0173,32.109
7/10/2017,07:00:00 pm,0,0.0172,32.030
7/10/2017,07:05:00 pm,0,0.0172,31.946
7/10/2017,07:10:00 pm,0,0.0171,31.841
7/10/2017,07:15:00 pm,0,0.0172,31.763
7/10/2017,07:20:00 pm,0,0.0171,31.659
7/10/2017,07:25:00 pm,0,0.0164,31.542
7/10/2017,07:30:00 pm,0,0.0170,31.429
7/10/2017,07:35:00 pm,0,0.0165,31.302
7/10/2017,07:40:00 pm,0,0.0152,31.227
7/10/2017,07:45:00 pm,0,0.0140,31.139
7/10/2017,07:50:00 pm,0,0.0109,31.030
7/10/2017,07:55:00 pm,0,0.0083,30.935
7/10/2017,08:00:00 pm,0,0.0058,30.824
7/10/2017,08:05:00 pm,0,0.0029,30.691
7/10/2017,08:10:00 pm,0,0.0105,30.597
7/10/2017,08:15:00 pm,0,0.0114,30.492
7/10/2017,08:20:00 pm,0,0.0129,30.365
7/10/2017,08:25:00 pm,0,0.0139,30.236
7/10/2017,08:30:00 pm,0,0.0108,30.140
7/10/2017,08:35:00 pm,0,0.0079,30.025
7/10/2017,08:40:00 pm,0,0.0047,29.890
7/10/2017,08:45:00 pm,0,0.0030,29.771
7/10/2017,08:50:00 pm,0,0.0107,29.644
7/10/2017,08:55:00 pm,0,0.0135,29.512
7/10/2017,09:00:00 pm,0,0.0147,29.403
7/10/2017,09:05:00 pm,0,0.0108,29.277
7/10/2017,09:10:00 pm,0,0.0074,29.157
7/10/2017,09:15:00 pm,0,0.0048,29.043
7/10/2017,09:20:00 pm,0,0.0030,28.910
7/10/2017,09:25:00 pm,0,0.0095,28.799
7/10/2017,09:30:00 pm,0,0.0109,28.687
7/10/2017,09:35:00 pm,0,0.0121,28.575
7/10/2017,09:40:00 pm,0,0.0132,28.442
7/10/2017,09:45:00 pm,0,0.0137,28.312
7/10/2017,09:50:00 pm,0,0.0144,28.192
7/10/2017,09:55:00 pm,0,0.0122,28.066
7/10/2017,10:00:00 pm,0,0.0083,27.933
7/10/2017,10:05:00 pm,0,0.0051,27.799
7/10/2017,10:10:00 pm,0,0.0029,27.670
7/10/2017,10:15:00 pm,0,0.0103,27.535
7/10/2017,10:20:00 pm,0,0.0109,27.386
7/10/2017,10:25:00 pm,0,0.0122,27.268
7/10/2017,10:30:00 pm,0,0.0145,27.122
7/10/2017,10:35:00 pm,0,0.0137,26.977
7/10/2017,10:40:00 pm,0,0.0091,26.827
7/10/2017,10:45:00 pm,0,0.0054,26.685
7/10/2017,10:50:00 pm,0,0.0027,26.551
7/10/2017,10:55:00 pm,0,0.0102,26.421
7/10/2017,11:00:00 pm,0,0.0107,26.293
7/10/2017,11:05:00 pm,0,0.0119,26.187
7/10/2017,11:10:00 pm,0,0.0132,26.108
7/10/2017,11:15:00 pm,0,0.0143,25.988
7/10/2017,11:20:00 pm,0,0.0151,25.875
7/10/2017,11:25:00 pm,0,0.0121,25.750
7/10/2017,11:30:00 pm,0,0.0094,25.625
7/10/2017,11:35:00 pm,0,0.0063,25.511
7/10/2017,11:40:00 pm,0,0.0033,25.378
7/10/2017,11:45:00 pm,0,0.0018,25.287
7/10/2017,11:50:00 pm,0,0.0118,25.165
7/10/2017,11:55:00 pm,0,0.0125,25.060
7/11/2017,12:00:00 am,0,0.0134,24.934
7/11/2017,12:05:00 am,0,0.0130,24.812
7/11/2017,12:10:00 am,0,0.0138,24.682
7/11/2017,12:15:00 am,0,0.0160,24.559
7/11/2017,12:20:00 am,0,0.0125,24.424
7/11/2017,12:25:00 am,0,0.0096,24.316
7/11/2017,12:30:00 am,0,0.0063,24.198
7/11/2017,12:35:00 am,0,0.0042,24.079
7/11/2017,12:40:00 am,0,0.0023,23.953
7/11/2017,12:45:00 am,0,0.0097,23.840
7/11/2017,12:50:00 am,0,0.0117,23.716
7/11/2017,12:55:00 am,0,0.0116,23.612
7/11/2017,01:00:00 am,0,0.0121,23.505
7/11/2017,01:05:00 am,0,0.0134,23.394
7/11/2017,01:10:00 am,0,0.0149,23.283
7/11/2017,01:15:00 am,0,0.0155,23.185
