Serial_number:
2074734
Project ID:
neal_smith
Location:
I3
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2017,01:00:00 pm,0,0.0407,28.121
7/10/2017,01:05:00 pm,0,0.0266,28.338
7/10/2017,01:10:00 pm,0,0.0260,28.558
7/10/2017,01:15:00 pm,0,0.0139,28.679
7/10/2017,01:20:00 pm,0,0.0144,28.760
7/10/2017,01:25:00 pm,0,0.0228,28.900
7/10/2017,01:30:00 pm,0,0.0025,29.167
7/10/2017,01:35:00 pm,0,0.0089,29.203
7/10/2017,01:40:00 pm,0,0.0159,29.288
7/10/2017,01:45:00 pm,0,0.0204,29.403
7/10/2017,01:50:00 pm,0,0.0301,29.599
7/10/2017,01:55:00 pm,0,0.0142,29.619
7/10/2017,02:00:00 pm,0,-0.0058,29.901
7/10/2017,02:05:00 pm,0,0.0216,30.044
7/10/2017,02:10:00 pm,0,0.0256,30.023
7/10/2017,02:15:00 pm,0,0.0281,30.048
7/10/2017,02:20:00 pm,0,0.0303,30.125
7/10/2017,02:25:00 pm,0,0.0327,30.244
7/10/2017,02:30:00 pm,0,0.0285,30.483
7/10/2017,02:35:00 pm,0,0.0273,30.607
7/10/2017,02:40:00 pm,0,0.0260,30.796
7/10/2017,02:45:00 pm,0,0.0253,30.998
7/10/2017,02:50:00 pm,0,0.0225,31.013
7/10/2017,02:55:00 pm,0,0.0238,31.055
7/10/2017,03:00:00 pm,0,0.0234,31.054
7/10/2017,03:05:00 pm,0,0.0219,31.054
7/10/2017,03:10:00 pm,0,0.0215,31.057
7/10/2017,03:15:00 pm,0,0.0214,31.113
7/10/2017,03:20:00 pm,0,0.0207,31.189
7/10/2017,03:25:00 pm,0,0.0225,31.107
7/10/2017,03:30:00 pm,0,0.0221,31.167
7/10/2017,03:35:00 pm,0,0.0212,31.049
7/10/2017,03:40:00 pm,0,0.0229,30.925
7/10/2017,03:45:00 pm,0,0.0218,30.920
7/10/2017,03:50:00 pm,0,0.0196,30.873
7/10/2017,03:55:00 pm,0,0.0214,30.996
7/10/2017,04:00:00 pm,0,0.0207,31.112
7/10/2017,04:05:00 pm,0,0.0210,31.137
7/10/2017,04:10:00 pm,0,0.0223,31.206
7/10/2017,04:15:00 pm,0,0.0236,31.275
7/10/2017,04:20:00 pm,0,0.0227,31.307
7/10/2017,04:25:00 pm,0,0.0231,31.317
7/10/2017,04:30:00 pm,0,0.0267,31.389
7/10/2017,04:35:00 pm,0,0.0249,31.299
7/10/2017,04:40:00 pm,0,0.0249,31.281
7/10/2017,04:45:00 pm,0,0.0263,31.424
7/10/2017,04:50:00 pm,0,0.0268,31.521
7/10/2017,04:55:00 pm,0,0.0264,31.463
7/10/2017,05:00:00 pm,0,0.0274,31.445
7/10/2017,05:05:00 pm,0,0.0247,31.415
7/10/2017,05:10:00 pm,0,0.0257,31.255
7/10/2017,05:15:00 pm,0,0.0233,31.098
7/10/2017,05:20:00 pm,0,0.0239,31.130
7/10/2017,05:25:00 pm,0,0.0242,31.029
7/10/2017,05:30:00 pm,0,0.0232,31.075
7/10/2017,05:35:00 pm,0,0.0223,30.950
7/10/2017,05:40:00 pm,0,0.0217,30.877
7/10/2017,05:45:00 pm,0,0.0227,30.680
7/10/2017,05:50:00 pm,0,0.0225,30.526
7/10/2017,05:55:00 pm,0,0.0220,30.472
7/10/2017,06:00:00 pm,0,0.0231,30.293
7/10/2017,06:05:00 pm,0,0.0224,30.296
7/10/2017,06:10:00 pm,0,0.0230,30.351
7/10/2017,06:15:00 pm,0,0.0229,30.355
7/10/2017,06:20:00 pm,0,0.0227,30.375
7/10/2017,06:25:00 pm,0,0.0232,30.361
7/10/2017,06:30:00 pm,0,0.0230,30.357
7/10/2017,06:35:00 pm,0,0.0239,30.412
7/10/2017,06:40:00 pm,0,0.0221,30.332
7/10/2017,06:45:00 pm,0,0.0247,30.407
7/10/2017,06:50:00 pm,0,0.0260,30.457
7/10/2017,06:55:00 pm,0,0.0260,30.500
7/10/2017,07:00:00 pm,0,0.0280,30.589
7/10/2017,07:05:00 pm,0,0.0282,30.650
7/10/2017,07:10:00 pm,0,0.0294,30.688
7/10/2017,07:15:00 pm,0,0.0292,30.740
7/10/2017,07:20:00 pm,0,0.0286,30.755
7/10/2017,07:25:00 pm,0,0.0276,30.622
7/10/2017,07:30:00 pm,0,0.0268,30.526
7/10/2017,07:35:00 pm,0,0.0273,30.526
7/10/2017,07:40:00 pm,0,0.0271,30.533
7/10/2017,07:45:00 pm,0,0.0274,30.514
7/10/2017,07:50:00 pm,0,0.0265,30.502
7/10/2017,07:55:00 pm,0,0.0255,30.404
7/10/2017,08:00:00 pm,0,0.0249,30.432
7/10/2017,08:05:00 pm,0,0.0234,30.374
7/10/2017,08:10:00 pm,0,0.0238,30.317
7/10/2017,08:15:00 pm,0,0.0234,30.222
7/10/2017,08:20:00 pm,0,0.0223,30.195
7/10/2017,08:25:00 pm,0,0.0236,30.104
7/10/2017,08:30:00 pm,0,0.0223,30.055
7/10/2017,08:35:00 pm,0,0.0230,29.992
7/10/2017,08:40:00 pm,0,0.0235,29.924
7/10/2017,08:45:00 pm,0,0.0232,29.795
7/10/2017,08:50:00 pm,0,0.0218,29.772
7/10/2017,08:55:00 pm,0,0.0221,29.676
7/10/2017,09:00:00 pm,0,0.0223,29.590
7/10/2017,09:05:00 pm,0,0.0216,29.434
7/10/2017,09:10:00 pm,0,0.0210,29.344
7/10/2017,09:15:00 pm,0,0.0212,29.234
7/10/2017,09:20:00 pm,0,0.0212,29.114
7/10/2017,09:25:00 pm,0,0.0200,28.945
7/10/2017,09:30:00 pm,0,0.0172,28.724
7/10/2017,09:35:00 pm,0,0.0187,28.536
7/10/2017,09:40:00 pm,0,0.0158,28.340
7/10/2017,09:45:00 pm,0,0.0172,28.189
7/10/2017,09:50:00 pm,0,0.0167,27.986
7/10/2017,09:55:00 pm,0,0.0172,27.814
7/10/2017,10:00:00 pm,0,0.0169,27.639
7/10/2017,10:05:00 pm,0,0.0182,27.438
7/10/2017,10:10:00 pm,0,0.0137,27.243
7/10/2017,10:15:00 pm,0,0.0171,27.094
7/10/2017,10:20:00 pm,0,0.0158,26.967
7/10/2017,10:25:00 pm,0,0.0135,26.825
7/10/2017,10:30:00 pm,0,0.0166,26.702
7/10/2017,10:35:00 pm,0,0.0162,26.577
7/10/2017,10:40:00 pm,0,0.0160,26.410
7/10/2017,10:45:00 pm,0,0.0168,26.266
7/10/2017,10:50:00 pm,0,0.0146,26.141
7/10/2017,10:55:00 pm,0,0.0130,26.070
7/10/2017,11:00:00 pm,0,0.0151,25.969
7/10/2017,11:05:00 pm,0,0.0119,25.834
7/10/2017,11:10:00 pm,0,0.0176,25.651
7/10/2017,11:15:00 pm,0,0.0150,25.547
7/10/2017,11:20:00 pm,0,0.0114,25.416
7/10/2017,11:25:00 pm,0,0.0092,25.356
7/10/2017,11:30:00 pm,0,0.0084,25.288
7/10/2017,11:35:00 pm,0,0.0164,25.179
7/10/2017,11:40:00 pm,0,0.0176,24.954
7/10/2017,11:45:00 pm,0,0.0177,24.855
7/10/2017,11:50:00 pm,0,0.0168,24.810
7/10/2017,11:55:00 pm,0,0.0128,24.621
7/11/2017,12:00:00 am,0,0.0094,24.478
7/11/2017,12:05:00 am,0,0.0075,24.389
7/11/2017,12:10:00 am,0,0.0157,24.247
7/11/2017,12:15:00 am,0,0.0167,24.171
7/11/2017,12:20:00 am,0,0.0170,24.117
7/11/2017,12:25:00 am,0,0.0184,24.013
