Serial_number:
2074686
Project ID:
neal smith
Location:
B1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/1/2018,12:00:00 pm,0,-0.0209,19.930
5/1/2018,12:05:00 pm,0,-0.0209,20.162
5/1/2018,12:10:00 pm,0,-0.0204,20.385
5/1/2018,12:15:00 pm,0,-0.0187,20.602
5/1/2018,12:20:00 pm,0,-0.0189,20.956
5/1/2018,12:25:00 pm,0,-0.0192,21.261
5/1/2018,12:30:00 pm,0,-0.0183,21.514
5/1/2018,12:35:00 pm,0,-0.0180,21.747
5/1/2018,12:40:00 pm,0,-0.0187,21.958
5/1/2018,12:45:00 pm,0,-0.0181,22.149
5/1/2018,12:50:00 pm,0,-0.0185,22.326
5/1/2018,12:55:00 pm,0,-0.0171,22.494
5/1/2018,01:00:00 pm,0,-0.0216,22.660
5/1/2018,01:05:00 pm,0,-0.0271,26.459
5/1/2018,01:10:00 pm,0,0.0229,23.871
5/1/2018,01:15:00 pm,0,0.0200,22.525
5/1/2018,01:20:00 pm,0,0.0222,22.610
5/1/2018,01:25:00 pm,0,0.0228,22.751
5/1/2018,01:30:00 pm,0,0.0144,22.886
5/1/2018,01:35:00 pm,0,0.0090,22.843
5/1/2018,01:40:00 pm,0,0.0159,22.742
5/1/2018,01:45:00 pm,0,0.0192,22.678
5/1/2018,01:50:00 pm,0,0.0094,22.424
5/1/2018,01:55:00 pm,0,0.0037,22.235
5/1/2018,02:00:00 pm,0,0.0087,22.340
5/1/2018,02:05:00 pm,0,0.0098,22.575
5/1/2018,02:10:00 pm,0,0.0099,22.552
5/1/2018,02:15:00 pm,0,0.0085,22.445
5/1/2018,02:20:00 pm,0,0.0107,22.530
5/1/2018,02:25:00 pm,0,0.0118,22.603
5/1/2018,02:30:00 pm,0,0.0094,22.511
5/1/2018,02:35:00 pm,0,0.0090,22.419
5/1/2018,02:40:00 pm,0,0.0077,22.367
5/1/2018,02:45:00 pm,0,0.0072,22.309
5/1/2018,02:50:00 pm,0,0.0082,22.262
5/1/2018,02:55:00 pm,0,0.0082,22.229
5/1/2018,03:00:00 pm,0,0.0061,22.165
5/1/2018,03:05:00 pm,0,0.0046,22.085
5/1/2018,03:10:00 pm,0,0.0045,22.024
5/1/2018,03:15:00 pm,0,0.0045,21.988
5/1/2018,03:20:00 pm,0,0.0049,21.957
5/1/2018,03:25:00 pm,0,0.0033,21.906
5/1/2018,03:30:00 pm,0,0.0033,21.884
5/1/2018,03:35:00 pm,0,0.0030,21.859
5/1/2018,03:40:00 pm,0,0.0034,21.835
5/1/2018,03:45:00 pm,0,0.0029,21.817
5/1/2018,03:50:00 pm,0,0.0042,21.785
5/1/2018,03:55:00 pm,0,0.0034,21.739
5/1/2018,04:00:00 pm,0,0.0027,21.695
5/1/2018,04:05:00 pm,0,0.0031,21.650
5/1/2018,04:10:00 pm,0,0.0031,21.630
5/1/2018,04:15:00 pm,0,0.0026,21.603
5/1/2018,04:20:00 pm,0,0.0020,21.571
5/1/2018,04:25:00 pm,0,0.0018,21.525
5/1/2018,04:30:00 pm,0,0.0014,21.499
5/1/2018,04:35:00 pm,0,0.0016,21.479
5/1/2018,04:40:00 pm,0,0.0029,21.480
5/1/2018,04:45:00 pm,0,0.0041,21.511
5/1/2018,04:50:00 pm,0,0.0043,21.549
5/1/2018,04:55:00 pm,0,0.0070,21.647
5/1/2018,05:00:00 pm,0,0.0080,21.751
5/1/2018,05:05:00 pm,0,0.0088,21.797
5/1/2018,05:10:00 pm,0,0.0075,21.815
5/1/2018,05:15:00 pm,0,0.0083,21.824
5/1/2018,05:20:00 pm,0,0.0089,21.854
5/1/2018,05:25:00 pm,0,0.0100,21.907
5/1/2018,05:30:00 pm,0,0.0088,21.910
5/1/2018,05:35:00 pm,0,0.0094,21.899
5/1/2018,05:40:00 pm,0,0.0102,21.890
5/1/2018,05:45:00 pm,0,0.0100,21.908
5/1/2018,05:50:00 pm,0,0.0104,21.917
5/1/2018,05:55:00 pm,0,0.0101,21.934
5/1/2018,06:00:00 pm,0,0.0102,21.954
5/1/2018,06:05:00 pm,0,0.0095,21.971
5/1/2018,06:10:00 pm,0,0.0102,21.954
5/1/2018,06:15:00 pm,0,0.0085,21.918
5/1/2018,06:20:00 pm,0,0.0095,21.887
5/1/2018,06:25:00 pm,0,0.0091,21.856
5/1/2018,06:30:00 pm,0,0.0083,21.851
5/1/2018,06:35:00 pm,0,0.0083,21.840
5/1/2018,06:40:00 pm,0,0.0086,21.813
5/1/2018,06:45:00 pm,0,0.0070,21.785
5/1/2018,06:50:00 pm,0,0.0055,21.760
5/1/2018,06:55:00 pm,0,0.0041,21.727
5/1/2018,07:00:00 pm,0,0.0031,21.689
5/1/2018,07:05:00 pm,0,0.0011,21.642
5/1/2018,07:10:00 pm,0,0.0022,21.607
5/1/2018,07:15:00 pm,0,0.0021,21.568
5/1/2018,07:20:00 pm,0,0.0007,21.533
5/1/2018,07:25:00 pm,0,0.0009,21.486
5/1/2018,07:30:00 pm,0,0.0012,21.446
5/1/2018,07:35:00 pm,0,0.0010,21.404
5/1/2018,07:40:00 pm,0,0.0008,21.371
5/1/2018,07:45:00 pm,0,-0.0001,21.327
5/1/2018,07:50:00 pm,0,0.0001,21.291
5/1/2018,07:55:00 pm,0,-0.0008,21.247
5/1/2018,08:00:00 pm,0,-0.0006,21.188
5/1/2018,08:05:00 pm,0,0.0006,21.156
5/1/2018,08:10:00 pm,0,0.0000,21.124
5/1/2018,08:15:00 pm,0,-0.0002,21.077
5/1/2018,08:20:00 pm,0,-0.0018,20.999
5/1/2018,08:25:00 pm,0,-0.0010,20.918
5/1/2018,08:30:00 pm,0,-0.0015,20.873
5/1/2018,08:35:00 pm,0,-0.0016,20.817
5/1/2018,08:40:00 pm,0,-0.0017,20.771
5/1/2018,08:45:00 pm,0,-0.0015,20.711
5/1/2018,08:50:00 pm,0,-0.0024,20.671
5/1/2018,08:55:00 pm,0,-0.0012,20.617
5/1/2018,09:00:00 pm,0,-0.0016,20.573
5/1/2018,09:05:00 pm,0,-0.0028,20.532
5/1/2018,09:10:00 pm,0,-0.0046,20.500
5/1/2018,09:15:00 pm,0,-0.0046,20.461
5/1/2018,09:20:00 pm,0,-0.0072,20.430
5/1/2018,09:25:00 pm,0,-0.0069,20.416
5/1/2018,09:30:00 pm,0,-0.0073,20.382
5/1/2018,09:35:00 pm,0,-0.0100,20.352
5/1/2018,09:40:00 pm,0,-0.0074,20.323
5/1/2018,09:45:00 pm,0,-0.0099,20.267
5/1/2018,09:50:00 pm,0,-0.0087,20.184
5/1/2018,09:55:00 pm,0,-0.0104,20.112
5/1/2018,10:00:00 pm,0,-0.0131,19.984
5/1/2018,10:05:00 pm,0,-0.0138,19.830
5/1/2018,10:10:00 pm,0,-0.0152,19.719
5/1/2018,10:15:00 pm,0,-0.0140,19.645
5/1/2018,10:20:00 pm,0,-0.0158,19.562
5/1/2018,10:25:00 pm,0,-0.0147,19.513
5/1/2018,10:30:00 pm,0,-0.0143,19.443
5/1/2018,10:35:00 pm,0,-0.0132,19.395
5/1/2018,10:40:00 pm,0,-0.0147,19.348
5/1/2018,10:45:00 pm,0,-0.0165,19.294
5/1/2018,10:50:00 pm,0,-0.0153,19.267
5/1/2018,10:55:00 pm,0,-0.0156,19.222
5/1/2018,11:00:00 pm,0,-0.0148,19.172
5/1/2018,11:05:00 pm,0,-0.0154,19.156
5/1/2018,11:10:00 pm,0,-0.0154,19.110
5/1/2018,11:15:00 pm,0,-0.0163,19.079
5/1/2018,11:20:00 pm,0,-0.0161,19.052
5/1/2018,11:25:00 pm,0,-0.0157,19.023
5/1/2018,11:30:00 pm,0,-0.0151,18.994
5/1/2018,11:35:00 pm,0,-0.0152,18.956
5/1/2018,11:40:00 pm,0,-0.0152,18.875
5/1/2018,11:45:00 pm,0,-0.0159,18.855
5/1/2018,11:50:00 pm,0,-0.0161,18.834
5/1/2018,11:55:00 pm,0,-0.0159,18.787
5/2/2018,12:00:00 am,0,-0.0169,18.745
5/2/2018,12:05:00 am,0,-0.0161,18.653
5/2/2018,12:10:00 am,0,-0.0169,18.606
5/2/2018,12:15:00 am,0,-0.0162,18.532
5/2/2018,12:20:00 am,0,-0.0160,18.511
5/2/2018,12:25:00 am,0,-0.0165,18.443
5/2/2018,12:30:00 am,0,-0.0170,18.392
5/2/2018,12:35:00 am,0,-0.0148,18.316
5/2/2018,12:40:00 am,0,-0.0151,18.272
5/2/2018,12:45:00 am,0,-0.0156,18.232
5/2/2018,12:50:00 am,0,-0.0147,18.211
5/2/2018,12:55:00 am,0,-0.0142,18.187
5/2/2018,01:00:00 am,0,-0.0131,18.166
5/2/2018,01:05:00 am,0,-0.0147,18.136
5/2/2018,01:10:00 am,0,-0.0135,18.123
5/2/2018,01:15:00 am,0,-0.0139,18.101
5/2/2018,01:20:00 am,0,-0.0147,18.101
5/2/2018,01:25:00 am,0,-0.0143,18.093
5/2/2018,01:30:00 am,0,-0.0140,18.098
5/2/2018,01:35:00 am,0,-0.0148,18.112
5/2/2018,01:40:00 am,0,-0.0143,18.117
5/2/2018,01:45:00 am,0,-0.0146,18.127
5/2/2018,01:50:00 am,0,-0.0138,18.144
5/2/2018,01:55:00 am,0,-0.0147,18.156
5/2/2018,02:00:00 am,0,-0.0132,18.168
5/2/2018,02:05:00 am,0,-0.0134,18.174
5/2/2018,02:10:00 am,0,-0.0136,18.183
5/2/2018,02:15:00 am,0,-0.0129,18.197
5/2/2018,02:20:00 am,0,-0.0126,18.214
5/2/2018,02:25:00 am,0,-0.0123,18.228
5/2/2018,02:30:00 am,0,-0.0105,18.254
5/2/2018,02:35:00 am,0,-0.0125,18.268
5/2/2018,02:40:00 am,0,-0.0129,18.277
5/2/2018,02:45:00 am,0,-0.0132,18.281
5/2/2018,02:50:00 am,0,-0.0139,18.277
5/2/2018,02:55:00 am,0,-0.0137,18.280
5/2/2018,03:00:00 am,0,-0.0129,18.272
5/2/2018,03:05:00 am,0,-0.0130,18.262
5/2/2018,03:10:00 am,0,-0.0128,18.244
5/2/2018,03:15:00 am,0,-0.0139,18.223
5/2/2018,03:20:00 am,0,-0.0130,18.202
5/2/2018,03:25:00 am,0,-0.0138,18.177
5/2/2018,03:30:00 am,0,-0.0130,18.151
5/2/2018,03:35:00 am,0,-0.0127,18.127
5/2/2018,03:40:00 am,0,-0.0128,18.095
5/2/2018,03:45:00 am,0,-0.0131,18.062
5/2/2018,03:50:00 am,0,-0.0132,18.031
5/2/2018,03:55:00 am,0,-0.0133,18.002
5/2/2018,04:00:00 am,0,-0.0131,17.963
5/2/2018,04:05:00 am,0,-0.0129,17.924
5/2/2018,04:10:00 am,0,-0.0136,17.886
5/2/2018,04:15:00 am,0,-0.0136,17.843
5/2/2018,04:20:00 am,0,-0.0137,17.795
5/2/2018,04:25:00 am,0,-0.0139,17.741
5/2/2018,04:30:00 am,0,-0.0135,17.680
5/2/2018,04:35:00 am,0,-0.0135,17.618
5/2/2018,04:40:00 am,0,-0.0140,17.539
5/2/2018,04:45:00 am,0,-0.0130,17.473
5/2/2018,04:50:00 am,0,-0.0106,17.433
5/2/2018,04:55:00 am,0,-0.0104,17.397
5/2/2018,05:00:00 am,0,-0.0099,17.361
5/2/2018,05:05:00 am,0,-0.0101,17.323
5/2/2018,05:10:00 am,0,-0.0105,17.275
5/2/2018,05:15:00 am,0,-0.0108,17.233
5/2/2018,05:20:00 am,0,-0.0109,17.185
5/2/2018,05:25:00 am,0,-0.0121,17.133
5/2/2018,05:30:00 am,0,-0.0111,17.094
5/2/2018,05:35:00 am,0,-0.0120,17.043
5/2/2018,05:40:00 am,0,-0.0116,17.000
5/2/2018,05:45:00 am,0,-0.0106,16.952
5/2/2018,05:50:00 am,0,-0.0109,16.904
5/2/2018,05:55:00 am,0,-0.0109,16.862
5/2/2018,06:00:00 am,0,-0.0109,16.833
5/2/2018,06:05:00 am,0,-0.0112,16.786
5/2/2018,06:10:00 am,0,-0.0114,16.749
5/2/2018,06:15:00 am,0,-0.0117,16.702
5/2/2018,06:20:00 am,0,-0.0113,16.660
5/2/2018,06:25:00 am,0,-0.0111,16.625
5/2/2018,06:30:00 am,0,-0.0117,16.602
5/2/2018,06:35:00 am,0,-0.0112,16.591
5/2/2018,06:40:00 am,0,-0.0105,16.578
5/2/2018,06:45:00 am,0,-0.0104,16.565
5/2/2018,06:50:00 am,0,-0.0102,16.561
5/2/2018,06:55:00 am,0,-0.0104,16.570
5/2/2018,07:00:00 am,0,-0.0106,16.578
5/2/2018,07:05:00 am,0,-0.0115,16.591
5/2/2018,07:10:00 am,0,-0.0112,16.611
5/2/2018,07:15:00 am,0,-0.0109,16.636
5/2/2018,07:20:00 am,0,-0.0108,16.663
5/2/2018,07:25:00 am,0,-0.0111,16.692
5/2/2018,07:30:00 am,0,-0.0107,16.731
5/2/2018,07:35:00 am,0,-0.0107,16.772
5/2/2018,07:40:00 am,0,-0.0097,16.797
5/2/2018,07:45:00 am,0,-0.0095,16.822
5/2/2018,07:50:00 am,0,-0.0097,16.852
5/2/2018,07:55:00 am,0,-0.0109,16.883
5/2/2018,08:00:00 am,0,-0.0101,16.941
5/2/2018,08:05:00 am,0,-0.0097,17.016
5/2/2018,08:10:00 am,0,-0.0105,17.105
5/2/2018,08:15:00 am,0,-0.0096,17.195
5/2/2018,08:20:00 am,0,-0.0092,17.294
5/2/2018,08:25:00 am,0,-0.0096,17.322
5/2/2018,08:30:00 am,0,-0.0094,17.375
5/2/2018,08:35:00 am,0,-0.0090,17.452
5/2/2018,08:40:00 am,0,-0.0085,17.506
5/2/2018,08:45:00 am,0,-0.0087,17.534
5/2/2018,08:50:00 am,0,-0.0087,17.593
5/2/2018,08:55:00 am,0,-0.0079,17.647
5/2/2018,09:00:00 am,0,-0.0083,17.695
5/2/2018,09:05:00 am,0,-0.0082,17.709
5/2/2018,09:10:00 am,0,-0.0089,17.727
5/2/2018,09:15:00 am,0,-0.0082,17.752
5/2/2018,09:20:00 am,0,-0.0098,17.716
5/2/2018,09:25:00 am,0,-0.0079,17.732
5/2/2018,09:30:00 am,0,-0.0093,17.716
5/2/2018,09:35:00 am,0,-0.0084,17.710
5/2/2018,09:40:00 am,0,-0.0089,17.685
5/2/2018,09:45:00 am,0,-0.0090,17.673
5/2/2018,09:50:00 am,0,-0.0079,17.687
5/2/2018,09:55:00 am,0,-0.0080,17.713
5/2/2018,10:00:00 am,0,-0.0085,17.721
5/2/2018,10:05:00 am,0,-0.0085,17.748
5/2/2018,10:10:00 am,0,-0.0076,17.820
5/2/2018,10:15:00 am,0,-0.0069,17.939
5/2/2018,10:20:00 am,0,-0.0055,18.076
5/2/2018,10:25:00 am,0,-0.0065,18.185
5/2/2018,10:30:00 am,0,-0.0064,18.260
5/2/2018,10:35:00 am,0,-0.0046,18.346
5/2/2018,10:40:00 am,0,-0.0063,18.395
5/2/2018,10:45:00 am,0,-0.0063,18.415
5/2/2018,10:50:00 am,0,-0.0059,18.446
5/2/2018,10:55:00 am,0,-0.0068,18.432
5/2/2018,11:00:00 am,0,-0.0069,18.426
5/2/2018,11:05:00 am,0,-0.0072,18.438
5/2/2018,11:10:00 am,0,-0.0046,18.509
5/2/2018,11:15:00 am,0,-0.0070,18.502
5/2/2018,11:20:00 am,0,-0.0055,18.565
5/2/2018,11:25:00 am,0,-0.0055,18.599
5/2/2018,11:30:00 am,0,-0.0051,18.675
5/2/2018,11:35:00 am,0,-0.0048,18.837
5/2/2018,11:40:00 am,0,-0.0038,18.999
5/2/2018,11:45:00 am,0,-0.0045,19.106
5/2/2018,11:50:00 am,0,-0.0039,19.170
5/2/2018,11:55:00 am,0,-0.0041,19.209
5/2/2018,12:00:00 pm,0,-0.0029,19.244
5/2/2018,12:05:00 pm,0,-0.0033,19.287
5/2/2018,12:10:00 pm,0,-0.0033,19.374
5/2/2018,12:15:00 pm,0,-0.0026,19.494
5/2/2018,12:20:00 pm,0,-0.0033,19.590
5/2/2018,12:25:00 pm,0,-0.0029,19.709
5/2/2018,12:30:00 pm,0,-0.0022,19.807
5/2/2018,12:35:00 pm,0,-0.0027,19.874
5/2/2018,12:40:00 pm,0,-0.0031,19.931
5/2/2018,12:45:00 pm,0,-0.0023,20.004
5/2/2018,12:50:00 pm,0,-0.0021,20.043
5/2/2018,12:55:00 pm,0,-0.0027,20.055
5/2/2018,01:00:00 pm,0,-0.0029,20.047
5/2/2018,01:05:00 pm,0,-0.0015,20.078
5/2/2018,01:10:00 pm,0,-0.0020,20.113
5/2/2018,01:15:00 pm,0,-0.0015,20.148
5/2/2018,01:20:00 pm,0,-0.0019,20.238
5/2/2018,01:25:00 pm,0,-0.0010,20.370
5/2/2018,01:30:00 pm,0,-0.0008,20.469
5/2/2018,01:35:00 pm,0,-0.0009,20.563
5/2/2018,01:40:00 pm,0,-0.0001,20.696
5/2/2018,01:45:00 pm,0,0.0012,20.861
5/2/2018,01:50:00 pm,0,0.0003,20.958
5/2/2018,01:55:00 pm,0,0.0013,21.023
5/2/2018,02:00:00 pm,0,0.0002,21.140
5/2/2018,02:05:00 pm,0,0.0007,21.259
5/2/2018,02:10:00 pm,0,0.0005,21.407
5/2/2018,02:15:00 pm,0,0.0024,21.639
5/2/2018,02:20:00 pm,0,0.0043,21.908
5/2/2018,02:25:00 pm,0,0.0021,22.124
5/2/2018,02:30:00 pm,0,0.0045,22.405
5/2/2018,02:35:00 pm,0,0.0060,22.720
5/2/2018,02:40:00 pm,0,0.0025,22.752
5/2/2018,02:45:00 pm,0,0.0034,22.819
5/2/2018,02:50:00 pm,0,0.0036,22.869
5/2/2018,02:55:00 pm,0,0.0033,22.904
5/2/2018,03:00:00 pm,0,0.0012,22.886
5/2/2018,03:05:00 pm,0,0.0030,22.821
5/2/2018,03:10:00 pm,0,0.0013,22.670
5/2/2018,03:15:00 pm,0,-0.0003,22.507
5/2/2018,03:20:00 pm,0,-0.0008,22.425
5/2/2018,03:25:00 pm,0,0.0015,22.388
5/2/2018,03:30:00 pm,0,0.0022,22.436
5/2/2018,03:35:00 pm,0,0.0016,22.486
5/2/2018,03:40:00 pm,0,0.0031,22.527
5/2/2018,03:45:00 pm,0,0.0030,22.554
5/2/2018,03:50:00 pm,0,0.0033,22.600
5/2/2018,03:55:00 pm,0,0.0041,22.665
5/2/2018,04:00:00 pm,0,0.0031,22.724
5/2/2018,04:05:00 pm,0,0.0047,22.845
5/2/2018,04:10:00 pm,0,0.0065,22.935
5/2/2018,04:15:00 pm,0,0.0057,22.979
5/2/2018,04:20:00 pm,0,0.0051,23.008
5/2/2018,04:25:00 pm,0,0.0042,23.016
5/2/2018,04:30:00 pm,0,0.0039,23.011
5/2/2018,04:35:00 pm,0,0.0038,23.000
5/2/2018,04:40:00 pm,0,0.0058,22.988
5/2/2018,04:45:00 pm,0,0.0060,23.022
5/2/2018,04:50:00 pm,0,0.0053,23.048
5/2/2018,04:55:00 pm,0,0.0043,23.012
5/2/2018,05:00:00 pm,0,0.0043,22.969
5/2/2018,05:05:00 pm,0,0.0039,22.892
5/2/2018,05:10:00 pm,0,0.0026,22.800
5/2/2018,05:15:00 pm,0,0.0016,22.690
5/2/2018,05:20:00 pm,0,0.0026,22.567
5/2/2018,05:25:00 pm,0,-0.0016,22.419
5/2/2018,05:30:00 pm,0,-0.0017,22.190
5/2/2018,05:35:00 pm,0,-0.0029,21.995
5/2/2018,05:40:00 pm,0,-0.0063,21.827
5/2/2018,05:45:00 pm,0,-0.0049,21.706
5/2/2018,05:50:00 pm,0,-0.0062,21.543
5/2/2018,05:55:00 pm,0,-0.0060,21.412
5/2/2018,06:00:00 pm,0,-0.0083,21.287
5/2/2018,06:05:00 pm,0,-0.0098,21.134
5/2/2018,06:10:00 pm,0,-0.0072,21.043
5/2/2018,06:15:00 pm,0,-0.0082,20.912
5/2/2018,06:20:00 pm,0,-0.0058,20.768
5/2/2018,06:25:00 pm,0,-0.0125,20.640
5/2/2018,06:30:00 pm,0,-0.0081,20.478
5/2/2018,06:35:00 pm,0,-0.0108,20.289
5/2/2018,06:40:00 pm,0,-0.0133,20.125
5/2/2018,06:45:00 pm,0,-0.0105,19.943
5/2/2018,06:50:00 pm,0,-0.0123,19.771
5/2/2018,06:55:00 pm,0,-0.0107,19.664
5/2/2018,07:00:00 pm,0,-0.0116,19.534
