Serial_number:
2074732
Project ID:
neal smith
Location:
B6
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/1/2018,12:00:00 pm,0,-0.0048,20.012
5/1/2018,12:05:00 pm,0,-0.0053,20.197
5/1/2018,12:10:00 pm,0,-0.0051,20.383
5/1/2018,12:15:00 pm,0,-0.0038,20.581
5/1/2018,12:20:00 pm,0,-0.0055,20.937
5/1/2018,12:25:00 pm,0,-0.0051,21.268
5/1/2018,12:30:00 pm,0,-0.0051,21.552
5/1/2018,12:35:00 pm,0,-0.0047,21.810
5/1/2018,12:40:00 pm,0,-0.0048,22.069
5/1/2018,12:45:00 pm,0,-0.0048,22.312
5/1/2018,12:50:00 pm,0,-0.0048,22.532
5/1/2018,12:55:00 pm,0,-0.0042,22.733
5/1/2018,01:00:00 pm,0,-0.0045,22.924
5/1/2018,01:05:00 pm,0,-0.0015,23.295
5/1/2018,01:10:00 pm,0,-0.0055,24.032
5/1/2018,01:15:00 pm,0,0.0022,24.739
5/1/2018,01:20:00 pm,0,0.0102,25.119
5/1/2018,01:25:00 pm,0,0.0655,21.017
5/1/2018,01:30:00 pm,0,0.0580,20.441
5/1/2018,01:35:00 pm,0,0.0490,20.532
5/1/2018,01:40:00 pm,0,0.0561,20.576
5/1/2018,01:45:00 pm,0,0.0566,20.558
5/1/2018,01:50:00 pm,0,0.0498,20.548
5/1/2018,01:55:00 pm,0,0.0458,20.511
5/1/2018,02:00:00 pm,0,0.0493,20.501
5/1/2018,02:05:00 pm,0,0.0463,20.610
5/1/2018,02:10:00 pm,0,0.0475,20.637
5/1/2018,02:15:00 pm,0,0.0470,20.756
5/1/2018,02:20:00 pm,0,0.0486,20.865
5/1/2018,02:25:00 pm,0,0.0498,21.007
5/1/2018,02:30:00 pm,0,0.0478,20.987
5/1/2018,02:35:00 pm,0,0.0468,20.977
5/1/2018,02:40:00 pm,0,0.0462,20.921
5/1/2018,02:45:00 pm,0,0.0464,20.868
5/1/2018,02:50:00 pm,0,0.0468,20.847
5/1/2018,02:55:00 pm,0,0.0480,20.781
5/1/2018,03:00:00 pm,0,0.0463,20.704
5/1/2018,03:05:00 pm,0,0.0462,20.651
5/1/2018,03:10:00 pm,0,0.0467,20.594
5/1/2018,03:15:00 pm,0,0.0458,20.526
5/1/2018,03:20:00 pm,0,0.0470,20.445
5/1/2018,03:25:00 pm,0,0.0457,20.365
5/1/2018,03:30:00 pm,0,0.0454,20.305
5/1/2018,03:35:00 pm,0,0.0455,20.253
5/1/2018,03:40:00 pm,0,0.0457,20.194
5/1/2018,03:45:00 pm,0,0.0454,20.137
5/1/2018,03:50:00 pm,0,0.0456,20.092
5/1/2018,03:55:00 pm,0,0.0450,20.010
5/1/2018,04:00:00 pm,0,0.0448,19.965
5/1/2018,04:05:00 pm,0,0.0452,19.912
5/1/2018,04:10:00 pm,0,0.0450,19.869
5/1/2018,04:15:00 pm,0,0.0448,19.824
5/1/2018,04:20:00 pm,0,0.0450,19.759
5/1/2018,04:25:00 pm,0,0.0447,19.701
5/1/2018,04:30:00 pm,0,0.0446,19.632
5/1/2018,04:35:00 pm,0,0.0443,19.607
5/1/2018,04:40:00 pm,0,0.0452,19.594
5/1/2018,04:45:00 pm,0,0.0458,19.599
5/1/2018,04:50:00 pm,0,0.0456,19.616
5/1/2018,04:55:00 pm,0,0.0462,19.664
5/1/2018,05:00:00 pm,0,0.0472,19.756
5/1/2018,05:05:00 pm,0,0.0471,19.789
5/1/2018,05:10:00 pm,0,0.0459,19.834
5/1/2018,05:15:00 pm,0,0.0465,19.846
5/1/2018,05:20:00 pm,0,0.0466,19.852
5/1/2018,05:25:00 pm,0,0.0478,19.876
5/1/2018,05:30:00 pm,0,0.0459,19.887
5/1/2018,05:35:00 pm,0,0.0473,19.881
5/1/2018,05:40:00 pm,0,0.0473,19.862
5/1/2018,05:45:00 pm,0,0.0471,19.845
5/1/2018,05:50:00 pm,0,0.0474,19.833
5/1/2018,05:55:00 pm,0,0.0473,19.809
5/1/2018,06:00:00 pm,0,0.0467,19.802
5/1/2018,06:05:00 pm,0,0.0464,19.792
5/1/2018,06:10:00 pm,0,0.0466,19.778
5/1/2018,06:15:00 pm,0,0.0460,19.740
5/1/2018,06:20:00 pm,0,0.0466,19.690
5/1/2018,06:25:00 pm,0,0.0462,19.645
5/1/2018,06:30:00 pm,0,0.0458,19.613
5/1/2018,06:35:00 pm,0,0.0459,19.579
5/1/2018,06:40:00 pm,0,0.0451,19.549
5/1/2018,06:45:00 pm,0,0.0457,19.509
5/1/2018,06:50:00 pm,0,0.0452,19.470
5/1/2018,06:55:00 pm,0,0.0445,19.431
5/1/2018,07:00:00 pm,0,0.0441,19.391
5/1/2018,07:05:00 pm,0,0.0438,19.345
5/1/2018,07:10:00 pm,0,0.0439,19.300
5/1/2018,07:15:00 pm,0,0.0443,19.234
5/1/2018,07:20:00 pm,0,0.0432,19.198
5/1/2018,07:25:00 pm,0,0.0433,19.160
5/1/2018,07:30:00 pm,0,0.0441,19.119
5/1/2018,07:35:00 pm,0,0.0443,19.073
5/1/2018,07:40:00 pm,0,0.0425,19.036
5/1/2018,07:45:00 pm,0,0.0428,18.982
5/1/2018,07:50:00 pm,0,0.0426,18.919
5/1/2018,07:55:00 pm,0,0.0420,18.869
5/1/2018,08:00:00 pm,0,0.0426,18.824
5/1/2018,08:05:00 pm,0,0.0431,18.775
5/1/2018,08:10:00 pm,0,0.0422,18.708
5/1/2018,08:15:00 pm,0,0.0425,18.635
5/1/2018,08:20:00 pm,0,0.0415,18.568
5/1/2018,08:25:00 pm,0,0.0422,18.510
5/1/2018,08:30:00 pm,0,0.0415,18.461
5/1/2018,08:35:00 pm,0,0.0409,18.411
5/1/2018,08:40:00 pm,0,0.0407,18.361
5/1/2018,08:45:00 pm,0,0.0416,18.317
5/1/2018,08:50:00 pm,0,0.0405,18.272
5/1/2018,08:55:00 pm,0,0.0413,18.233
5/1/2018,09:00:00 pm,0,0.0414,18.200
5/1/2018,09:05:00 pm,0,0.0416,17.937
5/1/2018,09:10:00 pm,0,0.0408,17.944
5/1/2018,09:15:00 pm,0,0.0413,17.961
5/1/2018,09:20:00 pm,0,0.0401,17.960
5/1/2018,09:25:00 pm,0,0.0411,17.961
5/1/2018,09:30:00 pm,0,0.0414,17.955
5/1/2018,09:35:00 pm,0,0.0384,17.951
5/1/2018,09:40:00 pm,0,0.0411,17.935
5/1/2018,09:45:00 pm,0,0.0409,17.912
5/1/2018,09:50:00 pm,0,0.0420,17.891
5/1/2018,09:55:00 pm,0,0.0421,17.867
5/1/2018,10:00:00 pm,0,0.0402,17.836
5/1/2018,10:05:00 pm,0,0.0407,17.763
5/1/2018,10:10:00 pm,0,0.0400,17.724
5/1/2018,10:15:00 pm,0,0.0415,17.679
5/1/2018,10:20:00 pm,0,0.0394,17.634
5/1/2018,10:25:00 pm,0,0.0398,17.588
5/1/2018,10:30:00 pm,0,0.0405,17.544
5/1/2018,10:35:00 pm,0,0.0413,17.500
5/1/2018,10:40:00 pm,0,0.0405,17.462
5/1/2018,10:45:00 pm,0,0.0390,17.425
5/1/2018,10:50:00 pm,0,0.0397,17.387
5/1/2018,10:55:00 pm,0,0.0393,17.349
5/1/2018,11:00:00 pm,0,0.0397,17.315
5/1/2018,11:05:00 pm,0,0.0401,17.283
5/1/2018,11:10:00 pm,0,0.0390,17.254
5/1/2018,11:15:00 pm,0,0.0389,17.224
5/1/2018,11:20:00 pm,0,0.0404,17.190
5/1/2018,11:25:00 pm,0,0.0413,17.156
5/1/2018,11:30:00 pm,0,0.0413,17.114
5/1/2018,11:35:00 pm,0,0.0417,17.060
5/1/2018,11:40:00 pm,0,0.0414,17.009
5/1/2018,11:45:00 pm,0,0.0407,16.974
5/1/2018,11:50:00 pm,0,0.0406,16.939
5/1/2018,11:55:00 pm,0,0.0407,16.893
5/2/2018,12:00:00 am,0,0.0394,16.850
5/2/2018,12:05:00 am,0,0.0406,16.806
5/2/2018,12:10:00 am,0,0.0405,16.764
5/2/2018,12:15:00 am,0,0.0409,16.724
5/2/2018,12:20:00 am,0,0.0407,16.680
5/2/2018,12:25:00 am,0,0.0397,16.638
5/2/2018,12:30:00 am,0,0.0400,16.591
5/2/2018,12:35:00 am,0,0.0410,16.548
5/2/2018,12:40:00 am,0,0.0412,16.507
5/2/2018,12:45:00 am,0,0.0398,16.476
5/2/2018,12:50:00 am,0,0.0403,16.452
5/2/2018,12:55:00 am,0,0.0403,16.426
5/2/2018,01:00:00 am,0,0.0415,16.400
5/2/2018,01:05:00 am,0,0.0394,16.378
5/2/2018,01:10:00 am,0,0.0411,16.355
5/2/2018,01:15:00 am,0,0.0404,16.339
5/2/2018,01:20:00 am,0,0.0400,16.320
5/2/2018,01:25:00 am,0,0.0402,16.320
5/2/2018,01:30:00 am,0,0.0407,16.328
5/2/2018,01:35:00 am,0,0.0392,16.335
5/2/2018,01:40:00 am,0,0.0400,16.337
5/2/2018,01:45:00 am,0,0.0404,16.340
5/2/2018,01:50:00 am,0,0.0407,16.340
