Serial_number:
2074734
Project ID:
neal smith
Location:
I3
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/1/2018,12:00:00 pm,0,0.0365,20.769
5/1/2018,12:05:00 pm,0,0.0362,20.930
5/1/2018,12:10:00 pm,0,0.0365,21.095
5/1/2018,12:15:00 pm,0,0.0392,21.283
5/1/2018,12:20:00 pm,0,0.0377,21.552
5/1/2018,12:25:00 pm,0,0.0375,21.796
5/1/2018,12:30:00 pm,0,0.0381,22.003
5/1/2018,12:35:00 pm,0,0.0385,22.182
5/1/2018,12:40:00 pm,0,0.0379,22.351
5/1/2018,12:45:00 pm,0,0.0381,22.515
5/1/2018,12:50:00 pm,0,0.0380,22.676
5/1/2018,12:55:00 pm,0,0.0381,22.834
5/1/2018,01:00:00 pm,0,0.0377,22.993
5/1/2018,01:05:00 pm,0,0.0377,23.184
5/1/2018,01:10:00 pm,0,0.0376,23.430
5/1/2018,01:15:00 pm,0,0.0378,23.694
5/1/2018,01:20:00 pm,0,0.0389,23.968
5/1/2018,01:25:00 pm,0,0.0387,24.253
5/1/2018,01:30:00 pm,0,0.0383,24.536
5/1/2018,01:35:00 pm,0,0.0404,24.822
5/1/2018,01:40:00 pm,0,0.0365,25.076
5/1/2018,01:45:00 pm,0,0.0382,25.452
5/1/2018,01:50:00 pm,0,0.0423,25.478
5/1/2018,01:55:00 pm,0,0.0251,25.292
5/1/2018,02:00:00 pm,0,0.0907,22.976
5/1/2018,02:05:00 pm,0,0.0841,21.887
5/1/2018,02:10:00 pm,0,0.0850,21.894
5/1/2018,02:15:00 pm,0,0.0846,21.917
5/1/2018,02:20:00 pm,0,0.0845,21.892
5/1/2018,02:25:00 pm,0,0.0848,21.969
5/1/2018,02:30:00 pm,0,0.0837,22.032
5/1/2018,02:35:00 pm,0,0.0836,22.046
5/1/2018,02:40:00 pm,0,0.0828,22.040
5/1/2018,02:45:00 pm,0,0.0830,22.024
5/1/2018,02:50:00 pm,0,0.0830,21.986
5/1/2018,02:55:00 pm,0,0.0831,21.971
5/1/2018,03:00:00 pm,0,0.0822,21.996
5/1/2018,03:05:00 pm,0,0.0818,21.947
5/1/2018,03:10:00 pm,0,0.0818,21.888
5/1/2018,03:15:00 pm,0,0.0814,21.849
5/1/2018,03:20:00 pm,0,0.0846,21.824
5/1/2018,03:25:00 pm,0,0.0831,21.757
5/1/2018,03:30:00 pm,0,0.0822,21.702
5/1/2018,03:35:00 pm,0,0.0812,21.631
5/1/2018,03:40:00 pm,0,0.0816,21.597
5/1/2018,03:45:00 pm,0,0.0817,21.558
5/1/2018,03:50:00 pm,0,0.0814,21.529
5/1/2018,03:55:00 pm,0,0.0810,21.485
5/1/2018,04:00:00 pm,0,0.0807,21.439
5/1/2018,04:05:00 pm,0,0.0811,21.385
5/1/2018,04:10:00 pm,0,0.0815,21.320
5/1/2018,04:15:00 pm,0,0.0810,21.277
5/1/2018,04:20:00 pm,0,0.0822,21.232
5/1/2018,04:25:00 pm,0,0.0811,21.182
5/1/2018,04:30:00 pm,0,0.0802,21.156
5/1/2018,04:35:00 pm,0,0.0812,21.125
5/1/2018,04:40:00 pm,0,0.0821,21.104
5/1/2018,04:45:00 pm,0,0.0821,21.100
5/1/2018,04:50:00 pm,0,0.0827,21.114
5/1/2018,04:55:00 pm,0,0.0833,21.174
5/1/2018,05:00:00 pm,0,0.0846,21.269
5/1/2018,05:05:00 pm,0,0.0853,21.343
5/1/2018,05:10:00 pm,0,0.0840,21.386
5/1/2018,05:15:00 pm,0,0.0847,21.416
5/1/2018,05:20:00 pm,0,0.0853,21.426
5/1/2018,05:25:00 pm,0,0.0858,21.470
5/1/2018,05:30:00 pm,0,0.0846,21.514
5/1/2018,05:35:00 pm,0,0.0854,21.535
5/1/2018,05:40:00 pm,0,0.0861,21.546
5/1/2018,05:45:00 pm,0,0.0855,21.557
5/1/2018,05:50:00 pm,0,0.0852,21.556
5/1/2018,05:55:00 pm,0,0.0849,21.552
5/1/2018,06:00:00 pm,0,0.0844,21.560
5/1/2018,06:05:00 pm,0,0.0840,21.561
5/1/2018,06:10:00 pm,0,0.0839,21.582
5/1/2018,06:15:00 pm,0,0.0833,21.573
5/1/2018,06:20:00 pm,0,0.0827,21.512
5/1/2018,06:25:00 pm,0,0.0816,21.489
5/1/2018,06:30:00 pm,0,0.0808,21.449
5/1/2018,06:35:00 pm,0,0.0807,21.416
5/1/2018,06:40:00 pm,0,0.0806,21.403
5/1/2018,06:45:00 pm,0,0.0807,21.391
5/1/2018,06:50:00 pm,0,0.0801,21.361
5/1/2018,06:55:00 pm,0,0.0814,21.336
5/1/2018,07:00:00 pm,0,0.0807,21.297
5/1/2018,07:05:00 pm,0,0.0806,21.264
5/1/2018,07:10:00 pm,0,0.0802,21.212
5/1/2018,07:15:00 pm,0,0.0810,21.167
5/1/2018,07:20:00 pm,0,0.0785,21.123
5/1/2018,07:25:00 pm,0,0.0792,21.068
5/1/2018,07:30:00 pm,0,0.0800,21.026
5/1/2018,07:35:00 pm,0,0.0803,21.009
5/1/2018,07:40:00 pm,0,0.0810,20.969
5/1/2018,07:45:00 pm,0,0.0784,20.931
5/1/2018,07:50:00 pm,0,0.0780,20.854
5/1/2018,07:55:00 pm,0,0.0779,20.826
5/1/2018,08:00:00 pm,0,0.0787,20.755
5/1/2018,08:05:00 pm,0,0.0783,20.708
5/1/2018,08:10:00 pm,0,0.0777,20.657
5/1/2018,08:15:00 pm,0,0.0769,20.562
5/1/2018,08:20:00 pm,0,0.0770,20.490
5/1/2018,08:25:00 pm,0,0.0777,20.416
5/1/2018,08:30:00 pm,0,0.0775,20.353
5/1/2018,08:35:00 pm,0,0.0773,20.306
5/1/2018,08:40:00 pm,0,0.0772,20.258
5/1/2018,08:45:00 pm,0,0.0774,20.193
5/1/2018,08:50:00 pm,0,0.0777,20.154
5/1/2018,08:55:00 pm,0,0.0779,20.102
5/1/2018,09:00:00 pm,0,0.0772,20.058
5/1/2018,09:05:00 pm,0,0.0774,20.017
5/1/2018,09:10:00 pm,0,0.0767,19.975
5/1/2018,09:15:00 pm,0,0.0777,19.935
5/1/2018,09:20:00 pm,0,0.0762,19.904
5/1/2018,09:25:00 pm,0,0.0772,19.866
5/1/2018,09:30:00 pm,0,0.0766,19.843
5/1/2018,09:35:00 pm,0,0.0768,19.828
5/1/2018,09:40:00 pm,0,0.0769,19.815
5/1/2018,09:45:00 pm,0,0.0762,19.784
5/1/2018,09:50:00 pm,0,0.0762,19.744
5/1/2018,09:55:00 pm,0,0.0758,19.712
5/1/2018,10:00:00 pm,0,0.0752,19.668
5/1/2018,10:05:00 pm,0,0.0764,19.595
5/1/2018,10:10:00 pm,0,0.0746,19.512
5/1/2018,10:15:00 pm,0,0.0751,19.430
5/1/2018,10:20:00 pm,0,0.0752,19.364
5/1/2018,10:25:00 pm,0,0.0751,19.305
5/1/2018,10:30:00 pm,0,0.0753,19.266
5/1/2018,10:35:00 pm,0,0.0752,19.210
5/1/2018,10:40:00 pm,0,0.0747,19.157
5/1/2018,10:45:00 pm,0,0.0743,19.118
5/1/2018,10:50:00 pm,0,0.0747,19.087
5/1/2018,10:55:00 pm,0,0.0749,19.046
5/1/2018,11:00:00 pm,0,0.0744,19.017
5/1/2018,11:05:00 pm,0,0.0741,18.990
5/1/2018,11:10:00 pm,0,0.0746,18.971
5/1/2018,11:15:00 pm,0,0.0743,18.960
5/1/2018,11:20:00 pm,0,0.0747,18.957
5/1/2018,11:25:00 pm,0,0.0748,18.947
5/1/2018,11:30:00 pm,0,0.0740,18.904
5/1/2018,11:35:00 pm,0,0.0751,18.866
5/1/2018,11:40:00 pm,0,0.0745,18.813
5/1/2018,11:45:00 pm,0,0.0740,18.735
5/1/2018,11:50:00 pm,0,0.0742,18.716
5/1/2018,11:55:00 pm,0,0.0738,18.649
5/2/2018,12:00:00 am,0,0.0734,18.581
5/2/2018,12:05:00 am,0,0.0732,18.533
5/2/2018,12:10:00 am,0,0.0728,18.460
5/2/2018,12:15:00 am,0,0.0727,18.397
5/2/2018,12:20:00 am,0,0.0736,18.336
5/2/2018,12:25:00 am,0,0.0729,18.262
5/2/2018,12:30:00 am,0,0.0726,18.217
5/2/2018,12:35:00 am,0,0.0729,18.147
5/2/2018,12:40:00 am,0,0.0721,18.101
5/2/2018,12:45:00 am,0,0.0731,18.092
5/2/2018,12:50:00 am,0,0.0741,18.072
5/2/2018,12:55:00 am,0,0.0740,18.057
5/2/2018,01:00:00 am,0,0.0734,18.044
5/2/2018,01:05:00 am,0,0.0737,18.027
5/2/2018,01:10:00 am,0,0.0732,18.008
5/2/2018,01:15:00 am,0,0.0735,18.001
5/2/2018,01:20:00 am,0,0.0732,18.004
5/2/2018,01:25:00 am,0,0.0737,18.008
5/2/2018,01:30:00 am,0,0.0738,18.012
5/2/2018,01:35:00 am,0,0.0741,18.016
5/2/2018,01:40:00 am,0,0.0739,18.022
5/2/2018,01:45:00 am,0,0.0740,18.027
5/2/2018,01:50:00 am,0,0.0737,18.039
5/2/2018,01:55:00 am,0,0.0733,18.059
5/2/2018,02:00:00 am,0,0.0741,18.081
5/2/2018,02:05:00 am,0,0.0747,18.097
5/2/2018,02:10:00 am,0,0.0762,18.111
5/2/2018,02:15:00 am,0,0.0770,18.121
5/2/2018,02:20:00 am,0,0.0772,18.135
5/2/2018,02:25:00 am,0,0.0763,18.157
5/2/2018,02:30:00 am,0,0.0757,18.182
5/2/2018,02:35:00 am,0,0.0743,18.204
5/2/2018,02:40:00 am,0,0.0742,18.227
5/2/2018,02:45:00 am,0,0.0748,18.250
5/2/2018,02:50:00 am,0,0.0740,18.267
5/2/2018,02:55:00 am,0,0.0739,18.287
5/2/2018,03:00:00 am,0,0.0745,18.296
5/2/2018,03:05:00 am,0,0.0743,18.300
5/2/2018,03:10:00 am,0,0.0740,18.294
5/2/2018,03:15:00 am,0,0.0731,18.279
5/2/2018,03:20:00 am,0,0.0735,18.263
5/2/2018,03:25:00 am,0,0.0732,18.243
5/2/2018,03:30:00 am,0,0.0734,18.219
5/2/2018,03:35:00 am,0,0.0732,18.190
5/2/2018,03:40:00 am,0,0.0731,18.166
5/2/2018,03:45:00 am,0,0.0731,18.145
5/2/2018,03:50:00 am,0,0.0732,18.123
