Serial_number:
2074684
Project ID:
neal smith
Location:
W1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/1/2018,12:00:00 pm,0,-0.0296,20.229
5/1/2018,12:05:00 pm,0,-0.0295,20.463
5/1/2018,12:10:00 pm,0,-0.0291,20.685
5/1/2018,12:15:00 pm,0,-0.0280,20.898
5/1/2018,12:20:00 pm,0,-0.0304,21.854
5/1/2018,12:25:00 pm,0,0.0342,20.137
5/1/2018,12:30:00 pm,0,0.0313,19.701
5/1/2018,12:35:00 pm,0,0.0600,19.659
5/1/2018,12:40:00 pm,0,0.0591,19.687
5/1/2018,12:45:00 pm,0,0.0583,19.765
5/1/2018,12:50:00 pm,0,0.0571,19.863
5/1/2018,12:55:00 pm,0,0.0380,19.964
5/1/2018,01:00:00 pm,0,0.0478,20.070
5/1/2018,01:05:00 pm,0,0.0486,20.199
5/1/2018,01:10:00 pm,0,0.0453,20.329
5/1/2018,01:15:00 pm,0,0.0459,20.470
5/1/2018,01:20:00 pm,0,0.0477,20.615
5/1/2018,01:25:00 pm,0,0.0487,20.763
5/1/2018,01:30:00 pm,0,0.0487,20.933
5/1/2018,01:35:00 pm,0,0.0417,21.081
5/1/2018,01:40:00 pm,0,0.0458,21.192
5/1/2018,01:45:00 pm,0,0.0496,21.289
5/1/2018,01:50:00 pm,0,0.0415,21.333
5/1/2018,01:55:00 pm,0,0.0378,21.357
5/1/2018,02:00:00 pm,0,0.0415,21.409
5/1/2018,02:05:00 pm,0,0.0401,21.524
5/1/2018,02:10:00 pm,0,0.0408,21.644
5/1/2018,02:15:00 pm,0,0.0366,21.746
5/1/2018,02:20:00 pm,0,0.0381,21.879
5/1/2018,02:25:00 pm,0,0.0402,22.029
5/1/2018,02:30:00 pm,0,0.0378,22.114
5/1/2018,02:35:00 pm,0,0.0383,22.193
5/1/2018,02:40:00 pm,0,0.0387,22.250
5/1/2018,02:45:00 pm,0,0.0391,22.295
5/1/2018,02:50:00 pm,0,0.0398,22.348
5/1/2018,02:55:00 pm,0,0.0407,22.408
5/1/2018,03:00:00 pm,0,0.0401,22.438
5/1/2018,03:05:00 pm,0,0.0361,22.430
5/1/2018,03:10:00 pm,0,0.0368,22.423
5/1/2018,03:15:00 pm,0,0.0367,22.404
5/1/2018,03:20:00 pm,0,0.0381,22.378
5/1/2018,03:25:00 pm,0,0.0367,22.315
5/1/2018,03:30:00 pm,0,0.0365,22.267
5/1/2018,03:35:00 pm,0,0.0367,22.224
5/1/2018,03:40:00 pm,0,0.0362,22.206
5/1/2018,03:45:00 pm,0,0.0369,22.240
5/1/2018,03:50:00 pm,0,0.0372,22.226
5/1/2018,03:55:00 pm,0,0.0364,22.186
5/1/2018,04:00:00 pm,0,0.0359,22.121
5/1/2018,04:05:00 pm,0,0.0361,22.085
5/1/2018,04:10:00 pm,0,0.0362,22.044
5/1/2018,04:15:00 pm,0,0.0359,22.007
5/1/2018,04:20:00 pm,0,0.0359,21.997
5/1/2018,04:25:00 pm,0,0.0352,21.927
5/1/2018,04:30:00 pm,0,0.0352,21.915
5/1/2018,04:35:00 pm,0,0.0346,21.884
5/1/2018,04:40:00 pm,0,0.0353,21.871
5/1/2018,04:45:00 pm,0,0.0363,21.918
5/1/2018,04:50:00 pm,0,0.0360,21.952
5/1/2018,04:55:00 pm,0,0.0361,22.003
5/1/2018,05:00:00 pm,0,0.0369,22.052
5/1/2018,05:05:00 pm,0,0.0371,22.104
5/1/2018,05:10:00 pm,0,0.0359,22.164
5/1/2018,05:15:00 pm,0,0.0367,22.203
