Serial_number:
2074732
Project ID:
neal_smith
Location:
B6
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2017,01:00:00 pm,0,-0.0018,42.382
7/10/2017,01:05:00 pm,0,-0.0094,42.418
7/10/2017,01:10:00 pm,0,-0.0120,42.856
7/10/2017,01:15:00 pm,0,-0.0100,43.787
7/10/2017,01:20:00 pm,0,0.0408,34.427
7/10/2017,01:25:00 pm,0,0.0358,31.259
7/10/2017,01:30:00 pm,0,0.0149,31.124
7/10/2017,01:35:00 pm,0,0.0193,31.095
7/10/2017,01:40:00 pm,0,0.0272,31.090
7/10/2017,01:45:00 pm,0,0.0329,31.107
7/10/2017,01:50:00 pm,0,0.0432,31.139
7/10/2017,01:55:00 pm,0,0.0285,31.170
7/10/2017,02:00:00 pm,0,0.0097,31.226
7/10/2017,02:05:00 pm,0,0.0363,31.272
7/10/2017,02:10:00 pm,0,0.0390,31.291
7/10/2017,02:15:00 pm,0,0.0414,31.295
7/10/2017,02:20:00 pm,0,0.0437,31.274
7/10/2017,02:25:00 pm,0,0.0450,31.275
7/10/2017,02:30:00 pm,0,0.0430,31.306
7/10/2017,02:35:00 pm,0,0.0437,31.336
7/10/2017,02:40:00 pm,0,0.0426,31.374
7/10/2017,02:45:00 pm,0,0.0435,31.419
7/10/2017,02:50:00 pm,0,0.0430,31.486
7/10/2017,02:55:00 pm,0,0.0458,31.533
7/10/2017,03:00:00 pm,0,0.0465,31.560
7/10/2017,03:05:00 pm,0,0.0461,31.599
7/10/2017,03:10:00 pm,0,0.0461,31.611
7/10/2017,03:15:00 pm,0,0.0467,31.626
7/10/2017,03:20:00 pm,0,0.0466,31.636
7/10/2017,03:25:00 pm,0,0.0481,31.649
7/10/2017,03:30:00 pm,0,0.0474,31.628
7/10/2017,03:35:00 pm,0,0.0472,31.616
7/10/2017,03:40:00 pm,0,0.0493,31.616
7/10/2017,03:45:00 pm,0,0.0480,31.612
7/10/2017,03:50:00 pm,0,0.0471,31.618
7/10/2017,03:55:00 pm,0,0.0485,31.636
7/10/2017,04:00:00 pm,0,0.0479,31.643
7/10/2017,04:05:00 pm,0,0.0472,31.679
7/10/2017,04:10:00 pm,0,0.0468,31.698
7/10/2017,04:15:00 pm,0,0.0463,31.690
7/10/2017,04:20:00 pm,0,0.0452,31.737
7/10/2017,04:25:00 pm,0,0.0450,31.718
7/10/2017,04:30:00 pm,0,0.0471,31.668
7/10/2017,04:35:00 pm,0,0.0455,31.598
7/10/2017,04:40:00 pm,0,0.0455,31.532
7/10/2017,04:45:00 pm,0,0.0447,31.510
7/10/2017,04:50:00 pm,0,0.0437,31.472
7/10/2017,04:55:00 pm,0,0.0424,31.438
7/10/2017,05:00:00 pm,0,0.0429,31.421
7/10/2017,05:05:00 pm,0,0.0413,31.418
7/10/2017,05:10:00 pm,0,0.0444,31.397
7/10/2017,05:15:00 pm,0,0.0446,31.353
7/10/2017,05:20:00 pm,0,0.0435,31.295
7/10/2017,05:25:00 pm,0,0.0457,31.251
7/10/2017,05:30:00 pm,0,0.0437,31.237
7/10/2017,05:35:00 pm,0,0.0445,31.164
7/10/2017,05:40:00 pm,0,0.0440,31.077
7/10/2017,05:45:00 pm,0,0.0441,30.973
7/10/2017,05:50:00 pm,0,0.0452,30.878
7/10/2017,05:55:00 pm,0,0.0441,30.824
7/10/2017,06:00:00 pm,0,0.0429,30.748
7/10/2017,06:05:00 pm,0,0.0417,30.726
7/10/2017,06:10:00 pm,0,0.0418,30.729
7/10/2017,06:15:00 pm,0,0.0414,30.729
7/10/2017,06:20:00 pm,0,0.0407,30.712
7/10/2017,06:25:00 pm,0,0.0411,30.700
7/10/2017,06:30:00 pm,0,0.0402,30.684
7/10/2017,06:35:00 pm,0,0.0395,30.664
7/10/2017,06:40:00 pm,0,0.0389,30.615
7/10/2017,06:45:00 pm,0,0.0378,30.533
7/10/2017,06:50:00 pm,0,0.0372,30.470
7/10/2017,06:55:00 pm,0,0.0354,30.428
7/10/2017,07:00:00 pm,0,0.0343,30.330
7/10/2017,07:05:00 pm,0,0.0332,30.288
7/10/2017,07:10:00 pm,0,0.0339,30.232
7/10/2017,07:15:00 pm,0,0.0322,30.121
7/10/2017,07:20:00 pm,0,0.0313,30.035
7/10/2017,07:25:00 pm,0,0.0301,29.919
7/10/2017,07:30:00 pm,0,0.0369,29.813
7/10/2017,07:35:00 pm,0,0.0377,29.706
7/10/2017,07:40:00 pm,0,0.0387,29.633
7/10/2017,07:45:00 pm,0,0.0401,29.536
7/10/2017,07:50:00 pm,0,0.0415,29.454
7/10/2017,07:55:00 pm,0,0.0391,29.355
7/10/2017,08:00:00 pm,0,0.0366,29.249
7/10/2017,08:05:00 pm,0,0.0340,29.167
7/10/2017,08:10:00 pm,0,0.0319,29.087
7/10/2017,08:15:00 pm,0,0.0303,28.997
7/10/2017,08:20:00 pm,0,0.0383,28.915
7/10/2017,08:25:00 pm,0,0.0392,28.846
7/10/2017,08:30:00 pm,0,0.0413,28.750
7/10/2017,08:35:00 pm,0,0.0411,28.671
7/10/2017,08:40:00 pm,0,0.0424,28.593
7/10/2017,08:45:00 pm,0,0.0403,28.500
7/10/2017,08:50:00 pm,0,0.0373,28.400
7/10/2017,08:55:00 pm,0,0.0349,28.306
7/10/2017,09:00:00 pm,0,0.0335,28.235
7/10/2017,09:05:00 pm,0,0.0319,28.139
7/10/2017,09:10:00 pm,0,0.0379,28.021
7/10/2017,09:15:00 pm,0,0.0386,27.961
7/10/2017,09:20:00 pm,0,0.0393,27.854
7/10/2017,09:25:00 pm,0,0.0399,27.764
7/10/2017,09:30:00 pm,0,0.0406,27.669
7/10/2017,09:35:00 pm,0,0.0434,27.544
7/10/2017,09:40:00 pm,0,0.0413,27.473
7/10/2017,09:45:00 pm,0,0.0395,27.395
7/10/2017,09:50:00 pm,0,0.0370,27.286
7/10/2017,09:55:00 pm,0,0.0348,27.177
7/10/2017,10:00:00 pm,0,0.0328,27.090
7/10/2017,10:05:00 pm,0,0.0313,26.977
7/10/2017,10:10:00 pm,0,0.0392,26.867
7/10/2017,10:15:00 pm,0,0.0402,26.790
7/10/2017,10:20:00 pm,0,0.0409,26.687
7/10/2017,10:25:00 pm,0,0.0426,26.578
7/10/2017,10:30:00 pm,0,0.0431,26.467
7/10/2017,10:35:00 pm,0,0.0396,26.365
7/10/2017,10:40:00 pm,0,0.0359,26.268
7/10/2017,10:45:00 pm,0,0.0334,26.147
7/10/2017,10:50:00 pm,0,0.0313,26.031
7/10/2017,10:55:00 pm,0,0.0374,25.927
7/10/2017,11:00:00 pm,0,0.0384,25.823
7/10/2017,11:05:00 pm,0,0.0393,25.727
7/10/2017,11:10:00 pm,0,0.0408,25.656
7/10/2017,11:15:00 pm,0,0.0420,25.566
7/10/2017,11:20:00 pm,0,0.0434,25.470
7/10/2017,11:25:00 pm,0,0.0407,25.376
7/10/2017,11:30:00 pm,0,0.0379,25.292
7/10/2017,11:35:00 pm,0,0.0359,25.211
7/10/2017,11:40:00 pm,0,0.0338,25.129
7/10/2017,11:45:00 pm,0,0.0323,25.058
7/10/2017,11:50:00 pm,0,0.0310,24.964
7/10/2017,11:55:00 pm,0,0.0398,24.873
7/11/2017,12:00:00 am,0,0.0407,24.802
7/11/2017,12:05:00 am,0,0.0415,24.720
7/11/2017,12:10:00 am,0,0.0420,24.645
7/11/2017,12:15:00 am,0,0.0437,24.547
7/11/2017,12:20:00 am,0,0.0420,24.476
7/11/2017,12:25:00 am,0,0.0390,24.377
7/11/2017,12:30:00 am,0,0.0372,24.320
7/11/2017,12:35:00 am,0,0.0357,24.247
7/11/2017,12:40:00 am,0,0.0343,24.186
7/11/2017,12:45:00 am,0,0.0333,24.121
7/11/2017,12:50:00 am,0,0.0319,24.040
7/11/2017,12:55:00 am,0,0.0310,23.981
7/11/2017,01:00:00 am,0,0.0385,23.908
7/11/2017,01:05:00 am,0,0.0395,23.830
7/11/2017,01:10:00 am,0,0.0401,23.773
7/11/2017,01:15:00 am,0,0.0404,23.694
7/11/2017,01:20:00 am,0,0.0406,23.629
7/11/2017,01:25:00 am,0,0.0408,23.564
7/11/2017,01:30:00 am,0,0.0413,23.510
7/11/2017,01:35:00 am,0,0.0417,23.450
7/11/2017,01:40:00 am,0,0.0420,23.381
7/11/2017,01:45:00 am,0,0.0425,23.340
7/11/2017,01:50:00 am,0,0.0436,23.288
7/11/2017,01:55:00 am,0,0.0444,23.249
7/11/2017,02:00:00 am,0,0.0445,23.221
7/11/2017,02:05:00 am,0,0.0441,23.187
7/11/2017,02:10:00 am,0,0.0438,23.151
7/11/2017,02:15:00 am,0,0.0433,23.115
7/11/2017,02:20:00 am,0,0.0416,23.076
7/11/2017,02:25:00 am,0,0.0407,23.038
7/11/2017,02:30:00 am,0,0.0400,23.025
7/11/2017,02:35:00 am,0,0.0391,22.998
7/11/2017,02:40:00 am,0,0.0379,22.971
7/11/2017,02:45:00 am,0,0.0380,22.950
7/11/2017,02:50:00 am,0,0.0375,22.934
7/11/2017,02:55:00 am,0,0.0367,22.911
7/11/2017,03:00:00 am,0,0.0366,22.895
