Serial_number:
2074684
Project ID:
neal_smith
Location:
W1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2017,01:00:00 pm,0,-0.0282,42.882
7/10/2017,01:05:00 pm,0,-0.0374,43.643
7/10/2017,01:10:00 pm,0,-0.0361,43.068
7/10/2017,01:15:00 pm,0,-0.0377,43.543
7/10/2017,01:20:00 pm,0,-0.0464,45.241
7/10/2017,01:25:00 pm,0,-0.0523,47.538
7/10/2017,01:30:00 pm,0,-0.0705,50.107
7/10/2017,01:35:00 pm,0,-0.0073,43.410
7/10/2017,01:40:00 pm,0,-0.0001,32.715
7/10/2017,01:45:00 pm,0,0.0074,32.612
7/10/2017,01:50:00 pm,0,0.0192,32.603
7/10/2017,01:55:00 pm,0,0.0075,32.742
7/10/2017,02:00:00 pm,0,-0.0076,32.934
7/10/2017,02:05:00 pm,0,0.0174,33.080
7/10/2017,02:10:00 pm,0,0.0203,33.147
7/10/2017,02:15:00 pm,0,0.0211,33.170
7/10/2017,02:20:00 pm,0,0.0222,33.140
7/10/2017,02:25:00 pm,0,0.0237,33.170
7/10/2017,02:30:00 pm,0,0.0219,33.307
7/10/2017,02:35:00 pm,0,0.0232,33.441
7/10/2017,02:40:00 pm,0,0.0227,33.585
7/10/2017,02:45:00 pm,0,0.0228,33.752
7/10/2017,02:50:00 pm,0,0.0208,33.882
7/10/2017,02:55:00 pm,0,0.0238,33.950
7/10/2017,03:00:00 pm,0,0.0240,34.083
7/10/2017,03:05:00 pm,0,0.0234,34.160
7/10/2017,03:10:00 pm,0,0.0242,34.224
7/10/2017,03:15:00 pm,0,0.0246,34.284
7/10/2017,03:20:00 pm,0,0.0248,34.340
7/10/2017,03:25:00 pm,0,0.0266,34.358
7/10/2017,03:30:00 pm,0,0.0259,34.336
7/10/2017,03:35:00 pm,0,0.0255,34.322
7/10/2017,03:40:00 pm,0,0.0274,34.284
7/10/2017,03:45:00 pm,0,0.0265,34.289
7/10/2017,03:50:00 pm,0,0.0253,34.347
7/10/2017,03:55:00 pm,0,0.0271,34.371
7/10/2017,04:00:00 pm,0,0.0226,34.415
7/10/2017,04:05:00 pm,0,0.0221,34.472
7/10/2017,04:10:00 pm,0,0.0212,34.431
7/10/2017,04:15:00 pm,0,0.0199,34.391
7/10/2017,04:20:00 pm,0,0.0182,34.350
7/10/2017,04:25:00 pm,0,0.0178,34.323
7/10/2017,04:30:00 pm,0,0.0191,34.231
7/10/2017,04:35:00 pm,0,0.0175,34.139
7/10/2017,04:40:00 pm,0,0.0177,34.127
7/10/2017,04:45:00 pm,0,0.0173,34.100
7/10/2017,04:50:00 pm,0,0.0170,34.060
7/10/2017,04:55:00 pm,0,0.0160,34.001
7/10/2017,05:00:00 pm,0,0.0171,33.951
7/10/2017,05:05:00 pm,0,0.0157,33.918
7/10/2017,05:10:00 pm,0,0.0187,33.844
7/10/2017,05:15:00 pm,0,0.0185,33.762
7/10/2017,05:20:00 pm,0,0.0189,33.663
7/10/2017,05:25:00 pm,0,0.0189,33.575
7/10/2017,05:30:00 pm,0,0.0188,33.510
7/10/2017,05:35:00 pm,0,0.0182,33.375
7/10/2017,05:40:00 pm,0,0.0180,33.247
7/10/2017,05:45:00 pm,0,0.0194,33.097
7/10/2017,05:50:00 pm,0,0.0192,32.978
7/10/2017,05:55:00 pm,0,0.0194,32.877
7/10/2017,06:00:00 pm,0,0.0199,32.771
7/10/2017,06:05:00 pm,0,0.0190,32.697
7/10/2017,06:10:00 pm,0,0.0185,32.573
7/10/2017,06:15:00 pm,0,0.0178,32.479
7/10/2017,06:20:00 pm,0,0.0176,32.400
7/10/2017,06:25:00 pm,0,0.0182,32.311
7/10/2017,06:30:00 pm,0,0.0176,32.225
7/10/2017,06:35:00 pm,0,0.0172,32.115
7/10/2017,06:40:00 pm,0,0.0167,32.009
7/10/2017,06:45:00 pm,0,0.0150,31.918
7/10/2017,06:50:00 pm,0,0.0138,31.832
7/10/2017,06:55:00 pm,0,0.0125,31.764
7/10/2017,07:00:00 pm,0,0.0117,31.667
7/10/2017,07:05:00 pm,0,0.0109,31.575
7/10/2017,07:10:00 pm,0,0.0100,31.490
7/10/2017,07:15:00 pm,0,0.0089,31.387
7/10/2017,07:20:00 pm,0,0.0082,31.276
7/10/2017,07:25:00 pm,0,0.0069,31.114
7/10/2017,07:30:00 pm,0,0.0048,30.970
7/10/2017,07:35:00 pm,0,0.0040,30.885
7/10/2017,07:40:00 pm,0,0.0131,30.841
7/10/2017,07:45:00 pm,0,0.0152,30.753
7/10/2017,07:50:00 pm,0,0.0157,30.650
7/10/2017,07:55:00 pm,0,0.0153,30.557
7/10/2017,08:00:00 pm,0,0.0125,30.434
7/10/2017,08:05:00 pm,0,0.0098,30.359
7/10/2017,08:10:00 pm,0,0.0068,30.244
7/10/2017,08:15:00 pm,0,0.0047,30.139
7/10/2017,08:20:00 pm,0,0.0126,30.027
7/10/2017,08:25:00 pm,0,0.0138,29.928
7/10/2017,08:30:00 pm,0,0.0150,29.824
7/10/2017,08:35:00 pm,0,0.0158,29.705
7/10/2017,08:40:00 pm,0,0.0166,29.584
7/10/2017,08:45:00 pm,0,0.0170,29.477
7/10/2017,08:50:00 pm,0,0.0123,29.353
7/10/2017,08:55:00 pm,0,0.0101,29.244
7/10/2017,09:00:00 pm,0,0.0075,29.138
7/10/2017,09:05:00 pm,0,0.0057,29.015
7/10/2017,09:10:00 pm,0,0.0137,28.894
7/10/2017,09:15:00 pm,0,0.0154,28.781
7/10/2017,09:20:00 pm,0,0.0168,28.649
7/10/2017,09:25:00 pm,0,0.0175,28.552
7/10/2017,09:30:00 pm,0,0.0145,28.454
7/10/2017,09:35:00 pm,0,0.0120,28.326
7/10/2017,09:40:00 pm,0,0.0089,28.208
7/10/2017,09:45:00 pm,0,0.0063,28.071
7/10/2017,09:50:00 pm,0,0.0049,27.956
7/10/2017,09:55:00 pm,0,0.0124,27.835
7/10/2017,10:00:00 pm,0,0.0137,27.686
7/10/2017,10:05:00 pm,0,0.0150,27.574
7/10/2017,10:10:00 pm,0,0.0161,27.432
7/10/2017,10:15:00 pm,0,0.0169,27.310
7/10/2017,10:20:00 pm,0,0.0172,27.173
7/10/2017,10:25:00 pm,0,0.0128,27.030
7/10/2017,10:30:00 pm,0,0.0095,26.900
7/10/2017,10:35:00 pm,0,0.0064,26.785
7/10/2017,10:40:00 pm,0,0.0043,26.668
7/10/2017,10:45:00 pm,0,0.0141,26.508
7/10/2017,10:50:00 pm,0,0.0148,26.390
7/10/2017,10:55:00 pm,0,0.0155,26.209
7/10/2017,11:00:00 pm,0,0.0164,26.106
7/10/2017,11:05:00 pm,0,0.0172,26.021
7/10/2017,11:10:00 pm,0,0.0172,25.926
7/10/2017,11:15:00 pm,0,0.0139,25.845
7/10/2017,11:20:00 pm,0,0.0112,25.742
7/10/2017,11:25:00 pm,0,0.0081,25.615
7/10/2017,11:30:00 pm,0,0.0065,25.505
7/10/2017,11:35:00 pm,0,0.0043,25.374
7/10/2017,11:40:00 pm,0,0.0150,25.252
7/10/2017,11:45:00 pm,0,0.0167,25.093
7/10/2017,11:50:00 pm,0,0.0138,24.983
7/10/2017,11:55:00 pm,0,0.0100,24.849
7/11/2017,12:00:00 am,0,0.0079,24.729
7/11/2017,12:05:00 am,0,0.0046,24.581
7/11/2017,12:10:00 am,0,0.0144,24.455
7/11/2017,12:15:00 am,0,0.0151,24.322
7/11/2017,12:20:00 am,0,0.0150,24.191
7/11/2017,12:25:00 am,0,0.0161,24.076
7/11/2017,12:30:00 am,0,0.0166,23.952
7/11/2017,12:35:00 am,0,0.0174,23.832
7/11/2017,12:40:00 am,0,0.0170,23.710
7/11/2017,12:45:00 am,0,0.0147,23.626
7/11/2017,12:50:00 am,0,0.0125,23.527
7/11/2017,12:55:00 am,0,0.0104,23.441
7/11/2017,01:00:00 am,0,0.0078,23.311
7/11/2017,01:05:00 am,0,0.0060,23.213
7/11/2017,01:10:00 am,0,0.0059,23.144
7/11/2017,01:15:00 am,0,0.0045,23.064
7/11/2017,01:20:00 am,0,0.0126,22.981
7/11/2017,01:25:00 am,0,0.0132,22.879
7/11/2017,01:30:00 am,0,0.0143,22.761
7/11/2017,01:35:00 am,0,0.0150,22.670
7/11/2017,01:40:00 am,0,0.0159,22.602
7/11/2017,01:45:00 am,0,0.0161,22.516
7/11/2017,01:50:00 am,0,0.0178,22.460
7/11/2017,01:55:00 am,0,0.0156,22.386
