"","date","time","rainin","raincm"
"1",2017-04-01,"23:48",1.07,2.7178
"2",2017-04-02,"23:48",1.26,3.2004
"3",2017-04-03,"23:48",1.88,4.7752
"4",2017-04-04,"23:48",1.88,4.7752
"5",2017-04-05,"23:48",2.43,6.1722
"6",2017-04-06,"23:48",2.43,6.1722
"7",2017-04-07,"23:48",2.43,6.1722
"8",2017-04-08,"23:48",2.43,6.1722
"9",2017-04-09,"23:48",2.43,6.1722
"10",2017-04-10,"23:48",2.45,6.223
"11",2017-04-11,"23:48",2.45,6.223
"12",2017-04-12,"23:48",2.45,6.223
"13",2017-04-13,"23:48",2.46,6.2484
"14",2017-04-14,"23:48",2.63,6.6802
"15",2017-04-15,"23:48",3.23,8.2042
"16",2017-04-16,"23:48",3.23,8.2042
"17",2017-04-17,"23:48",3.23,8.2042
"18",2017-04-18,"23:48",3.26,8.2804
"19",2017-04-19,"23:48",3.35,8.509
"20",2017-04-20,"23:48",3.36,8.5344
"21",2017-04-21,"23:48",3.36,8.5344
"22",2017-04-22,"23:48",3.36,8.5344
"23",2017-04-23,"23:48",3.36,8.5344
"24",2017-04-24,"23:48",3.36,8.5344
"25",2017-04-25,"23:48",3.36,8.5344
"26",2017-04-26,"23:48",3.41,8.6614
"27",2017-04-27,"23:48",3.41,8.6614
"28",2017-04-28,"23:48",3.78,9.6012
"29",2017-04-29,"23:48",4.3,10.922
"30",2017-04-30,"23:48",5.07,12.8778
"31",2017-05-01,"23:48",5.11,12.9794
"32",2017-05-02,"23:48",5.11,12.9794
"33",2017-05-03,"23:48",5.11,12.9794
"34",2017-05-04,"23:48",5.11,12.9794
"35",2017-05-05,"23:48",5.11,12.9794
"36",2017-05-06,"23:48",5.11,12.9794
"37",2017-05-07,"23:48",5.11,12.9794
"38",2017-05-08,"23:48",5.11,12.9794
"39",2017-05-09,"23:48",5.11,12.9794
"40",2017-05-10,"23:48",6.37,16.1798
"41",2017-05-11,"23:48",6.37,16.1798
"42",2017-05-12,"23:48",6.37,16.1798
"43",2017-05-13,"23:48",6.37,16.1798
"44",2017-05-14,"23:48",6.37,16.1798
"45",2017-05-15,"23:48",6.37,16.1798
"46",2017-05-16,"23:48",6.38,16.2052
"47",2017-05-17,"23:48",6.96,17.6784
"48",2017-05-18,"23:48",6.96,17.6784
"49",2017-05-19,"23:48",7.62,19.3548
"50",2017-05-20,"23:48",8.04,20.4216
"51",2017-05-21,"23:48",8.04,20.4216
"52",2017-05-22,"23:48",8.04,20.4216
"53",2017-05-23,"23:48",8.06,20.4724
"54",2017-05-24,"23:48",8.06,20.4724
"55",2017-05-25,"23:48",8.06,20.4724
"56",2017-05-26,"23:48",8.19,20.8026
"57",2017-05-27,"23:48",8.52,21.6408
"58",2017-05-28,"23:48",8.52,21.6408
"59",2017-05-29,"23:48",8.52,21.6408
"60",2017-05-30,"23:48",8.52,21.6408
"61",2017-05-31,"23:48",8.52,21.6408
"62",2017-06-01,"23:48",8.52,21.6408
"63",2017-06-02,"23:48",8.52,21.6408
"64",2017-06-03,"23:48",8.52,21.6408
"65",2017-06-04,"23:48",8.52,21.6408
"66",2017-06-05,"23:48",8.52,21.6408
"67",2017-06-06,"23:48",8.52,21.6408
"68",2017-06-07,"23:48",8.52,21.6408
"69",2017-06-08,"23:48",8.52,21.6408
"70",2017-06-09,"23:48",8.52,21.6408
"71",2017-06-10,"23:48",8.52,21.6408
"72",2017-06-11,"23:48",8.52,21.6408
"73",2017-06-12,"23:48",8.52,21.6408
"74",2017-06-13,"23:48",8.52,21.6408
"75",2017-06-14,"23:48",8.64,21.9456
"76",2017-06-15,"23:48",8.82,22.4028
"77",2017-06-16,"23:48",8.88,22.5552
"78",2017-06-17,"23:48",8.88,22.5552
"79",2017-06-18,"23:48",8.88,22.5552
"80",2017-06-19,"23:48",8.88,22.5552
"81",2017-06-20,"23:48",8.88,22.5552
"82",2017-06-21,"23:48",8.92,22.6568
"83",2017-06-22,"23:48",9.9,25.146
"84",2017-06-23,"23:48",9.95,25.273
"85",2017-06-24,"23:48",9.95,25.273
"86",2017-06-25,"23:48",9.95,25.273
"87",2017-06-26,"23:48",10.03,25.4762
"88",2017-06-27,"23:48",10.03,25.4762
"89",2017-06-28,"23:48",10.31,26.1874
"90",2017-06-29,"23:48",10.31,26.1874
"91",2017-06-30,"23:48",10.34,26.2636
"92",2017-07-01,"23:48",10.34,26.2636
"93",2017-07-02,"23:48",10.34,26.2636
"94",2017-07-03,"23:48",10.34,26.2636
"95",2017-07-04,"23:48",10.34,26.2636
"96",2017-07-05,"23:48",10.34,26.2636
"97",2017-07-06,"23:48",10.34,26.2636
"98",2017-07-07,"23:48",10.34,26.2636
"99",2017-07-08,"23:48",10.34,26.2636
"100",2017-07-09,"23:48",10.34,26.2636
"101",2017-07-10,"23:48",10.34,26.2636
"102",2017-07-11,"23:48",11.04,28.0416
"103",2017-07-12,"23:48",11.04,28.0416
"104",2017-07-13,"23:48",11.04,28.0416
"105",2017-07-14,"23:48",11.04,28.0416
"106",2017-07-15,"23:48",11.04,28.0416
"107",2017-07-16,"23:48",11.04,28.0416
"108",2017-07-17,"23:48",11.04,28.0416
"109",2017-07-18,"23:48",11.04,28.0416
"110",2017-07-19,"23:48",11.04,28.0416
"111",2017-07-20,"23:48",12.1,30.734
"112",2017-07-21,"23:48",12.11,30.7594
"113",2017-07-22,"23:48",12.11,30.7594
"114",2017-07-23,"23:48",12.11,30.7594
"115",2017-07-24,"23:48",12.11,30.7594
"116",2017-07-25,"23:48",12.11,30.7594
"117",2017-07-26,"23:48",12.35,31.369
"118",2017-07-27,"23:48",12.35,31.369
"119",2017-07-28,"23:48",12.35,31.369
"120",2017-07-29,"23:48",12.35,31.369
"121",2017-07-30,"23:48",12.35,31.369
"122",2017-07-31,"23:48",12.35,31.369
"123",2017-08-01,"23:48",12.35,31.369
"124",2017-08-02,"23:48",12.36,31.3944
"125",2017-08-03,"23:48",13.08,33.2232
"126",2017-08-04,"23:48",13.08,33.2232
"127",2017-08-05,"23:48",13.08,33.2232
"128",2017-08-06,"23:48",13.08,33.2232
"129",2017-08-07,"23:48",13.08,33.2232
"130",2017-08-08,"23:48",13.08,33.2232
"131",2017-08-09,"23:48",13.08,33.2232
"132",2017-08-10,"23:48",13.14,33.3756
"133",2017-08-11,"23:48",13.14,33.3756
"134",2017-08-12,"23:48",13.14,33.3756
"135",2017-08-13,"23:48",13.14,33.3756
"136",2017-08-14,"23:48",13.19,33.5026
"137",2017-08-15,"23:48",13.25,33.655
"138",2017-08-16,"23:48",13.25,33.655
"139",2017-08-17,"23:48",13.25,33.655
"140",2017-08-18,"23:48",13.25,33.655
"141",2017-08-19,"23:48",13.25,33.655
"142",2017-08-20,"23:48",13.55,34.417
"143",2017-08-21,"23:48",17.49,44.4246
"144",2017-08-22,"23:48",17.57,44.6278
"145",2017-08-23,"23:48",17.57,44.6278
"146",2017-08-24,"23:48",17.58,44.6532
"147",2017-08-25,"23:48",17.58,44.6532
"148",2017-08-26,"23:48",17.58,44.6532
"149",2017-08-27,"23:48",17.6,44.704
"150",2017-08-28,"23:48",17.6,44.704
"151",2017-08-29,"23:48",17.6,44.704
"152",2017-08-30,"23:48",17.6,44.704
"153",2017-08-31,"23:48",17.6,44.704
"154",2017-09-01,"23:48",17.6,44.704
"155",2017-09-02,"23:48",17.6,44.704
"156",2017-09-03,"23:48",17.6,44.704
"157",2017-09-04,"23:48",17.6,44.704
"158",2017-09-05,"23:48",17.6,44.704
"159",2017-09-06,"23:48",17.6,44.704
"160",2017-09-07,"23:48",17.6,44.704
"161",2017-09-08,"23:48",17.6,44.704
"162",2017-09-09,"23:48",17.6,44.704
"163",2017-09-10,"23:48",17.6,44.704
"164",2017-09-11,"23:48",17.6,44.704
"165",2017-09-12,"23:48",17.6,44.704
"166",2017-09-13,"23:48",17.6,44.704
"167",2017-09-14,"23:48",17.6,44.704
"168",2017-09-15,"23:48",17.6,44.704
"169",2017-09-16,"23:48",18.07,45.8978
"170",2017-09-17,"23:48",19.19,48.7426
"171",2017-09-18,"23:48",19.22,48.8188
"172",2017-09-19,"23:48",19.23,48.8442
"173",2017-09-20,"23:48",19.23,48.8442
"174",2017-09-21,"23:48",19.23,48.8442
"175",2017-09-22,"23:48",19.23,48.8442
"176",2017-09-23,"23:48",19.23,48.8442
"177",2017-09-24,"23:48",19.23,48.8442
"178",2017-09-25,"23:48",19.47,49.4538
"179",2017-09-26,"23:48",19.75,50.165
"180",2017-09-27,"23:48",19.75,50.165
"181",2017-09-28,"23:48",19.75,50.165
"182",2017-09-29,"23:48",19.75,50.165
"183",2017-09-30,"23:48",19.75,50.165
"184",2017-10-01,"23:48",19.76,50.1904
"185",2017-10-02,"23:48",19.76,50.1904
"186",2017-10-03,"23:48",20.21,51.3334
"187",2017-10-04,"23:48",20.24,51.4096
"188",2017-10-05,"23:48",20.27,51.4858
"189",2017-10-06,"23:48",21.27,54.0258
"190",2017-10-07,"23:48",21.48,54.5592
"191",2017-10-08,"23:48",21.48,54.5592
"192",2017-10-09,"23:48",21.48,54.5592
"193",2017-10-10,"23:48",21.97,55.8038
"194",2017-10-11,"23:48",21.97,55.8038
"195",2017-10-12,"23:48",21.97,55.8038
"196",2017-10-13,"23:48",21.97,55.8038
"197",2017-10-14,"23:48",23.14,58.7756
"198",2017-10-15,"23:48",23.14,58.7756
"199",2017-10-16,"23:48",23.14,58.7756
"200",2017-10-17,"23:48",23.14,58.7756
"201",2017-10-18,"23:48",23.14,58.7756
"202",2017-10-19,"23:48",23.14,58.7756
"203",2017-10-20,"23:48",23.14,58.7756
"204",2017-10-21,"23:48",24.15,61.341
"205",2017-10-22,"23:48",24.26,61.6204
"206",2017-10-23,"23:48",24.26,61.6204
"207",2017-10-24,"23:48",24.26,61.6204
"208",2017-10-25,"23:48",24.26,61.6204
"209",2017-10-26,"23:48",24.26,61.6204
"210",2017-10-27,"23:48",24.26,61.6204
"211",2017-10-28,"23:48",24.26,61.6204
"212",2017-10-29,"23:48",24.27,61.6458
"213",2017-10-30,"23:48",24.27,61.6458
"214",2017-10-31,"23:48",24.27,61.6458
