"","date","allcrop","tentoe"
"1","2017-07-11",0.3302,0.4826
"2","2017-07-12",1.2192,1.397
"3","2017-07-13",1.2192,1.4224
"4","2017-07-14",1.2192,1.4224
"5","2017-07-15",1.2192,1.4224
"6","2017-07-16",1.2192,1.4224
"7","2017-07-17",1.2192,1.4224
"8","2017-07-18",1.2192,1.4224
"9","2017-07-19",1.2192,1.4224
"10","2017-07-20",1.2192,1.4224
"11","2017-07-21",1.5748,1.9558
"12","2017-07-22",1.8288,2.6416
"13","2017-07-23",1.8288,2.6416
"14","2017-07-24",1.8288,2.6416
"15","2017-07-25",1.8288,2.6416
"16","2017-07-26",2.1336,2.7178
"17","2017-07-27",2.8194,2.9718
"18","2017-07-28",3.048,3.048
"19","2017-07-29",3.048,3.048
"20","2017-07-30",3.048,3.048
"21","2017-07-31",3.048,3.048
"22","2017-08-01",3.048,3.048
"23","2017-08-02",3.3274,3.3782
"24","2017-08-03",3.6576,3.937
"25","2017-08-04",4.2418,4.4704
"26","2017-08-05",4.2672,4.4704
"27","2017-08-06",4.2672,4.4704
"28","2017-08-07",4.2672,4.4704
"29","2017-08-08",4.2672,4.4704
"30","2017-08-09",4.2672,4.4704
"31","2017-08-10",4.2672,4.5212
"32","2017-08-11",4.826,5.08
"33","2017-08-12",4.8768,5.2832
"34","2017-08-13",4.8768,5.2832
"35","2017-08-14",5.1054,5.3086
"36","2017-08-15",5.6642,5.6896
"37","2017-08-16",6.35,6.0706
"38","2017-08-17",6.7056,6.2992
"39","2017-08-18",6.7056,6.2992
"40","2017-08-19",6.7056,6.2992
"41","2017-08-20",6.7056,6.4262
"42","2017-08-21",7.5438,6.9596
"43","2017-08-22",8.7376,7.7724
"44","2017-08-23",9.144,8.128
"45","2017-08-24",9.398,8.2804
"46","2017-08-25",10.2616,8.7376
"47","2017-08-26",10.3632,8.7376
"48","2017-08-27",10.3632,8.7884
"49","2017-08-28",10.795,9.1948
"50","2017-08-29",10.9728,9.3472
"51","2017-08-30",10.9728,9.3472
"52","2017-08-31",10.9728,9.3472
"53","2017-09-01",10.9728,9.3472
"54","2017-09-02",10.9728,9.3472
"55","2017-09-03",10.9728,9.3472
"56","2017-09-04",10.9728,9.3472
"57","2017-09-05",10.9728,9.3472
"58","2017-09-06",10.9728,9.3472
"59","2017-09-07",10.9728,9.3472
"60","2017-09-08",10.9728,9.3472
"61","2017-09-09",10.9728,9.3472
"62","2017-09-10",10.9728,9.3472
"63","2017-09-11",10.9728,9.3472
"64","2017-09-12",10.9728,9.3472
"65","2017-09-13",10.9728,9.3472
"66","2017-09-14",10.9728,9.3472
"67","2017-09-15",10.9728,9.3472
"68","2017-09-16",10.9728,9.3472
"69","2017-09-17",11.4554,9.8044
"70","2017-09-18",11.8364,10.3124
"71","2017-09-19",12.4714,10.9728
"72","2017-09-20",13.2588,11.5316
"73","2017-09-21",13.4112,11.5824
"74","2017-09-22",13.4112,11.5824
"75","2017-09-23",13.4112,11.5824
"76","2017-09-24",13.4112,11.5824
"77","2017-09-25",13.4112,11.5824
"78","2017-09-26",13.843,11.8618
"79","2017-09-27",14.5288,12.192
"80","2017-09-28",14.6304,12.192
"81","2017-09-29",14.6304,12.192
"82","2017-09-30",14.6304,12.192
"83","2017-10-01",14.6304,12.2936
"84","2017-10-02",15.0622,12.827
"85","2017-10-03",15.24,13.0048
"86","2017-10-04",15.6464,13.1318
"87","2017-10-05",15.8496,13.5382
"88","2017-10-06",16.129,14.3002
"89","2017-10-07",16.637,15.113
"90","2017-10-08",17.3736,15.6718
"91","2017-10-09",17.6784,15.8496
"92","2017-10-10",17.6784,15.9766
"93","2017-10-11",18.2118,16.3322
"94","2017-10-12",18.288,16.4592
"95","2017-10-13",18.288,16.4592
"96","2017-10-14",18.6944,16.9164
"97","2017-10-15",19.3548,17.6784
"98","2017-10-16",19.5072,17.8816
"99","2017-10-17",19.5072,17.8816
"100","2017-10-18",19.5072,17.8816
"101","2017-10-19",19.5072,17.8816
"102","2017-10-20",19.5072,17.8816
"103","2017-10-21",19.5072,17.8816
"104","2017-10-22",19.9644,18.1356
"105","2017-10-23",20.6756,18.6436
"106","2017-10-24",20.7264,18.6944
"107","2017-10-25",20.7264,18.6944
"108","2017-10-26",20.7264,18.6944
"109","2017-10-27",20.7264,18.6944
"110","2017-10-28",20.7264,18.6944
"111","2017-10-29",20.7264,18.6944
"112","2017-10-30",21.082,18.9738
"113","2017-10-31",21.336,19.1008
